MA,Label,CAGR_lag0,CAGR_lag1,CAGR_diff_bp,Sharpe_lag0,Sharpe_lag1,Sharpe_diff,Sortino_lag0,Sortino_lag1,Sortino_diff,MDD_lag0,MDD_lag1,MDD_diff_bp,Trades_yr
"(3,161)",eulb baseline,0.4227913005419801,0.2262754684819237,1965.1583206005641,0.8760656302109432,0.5950149143397535,0.2810507158711897,1.2559912312376247,0.8348593295196434,0.4211319017179813,-0.8611617699036964,-0.9692586837660164,1080.9691386232,4.199585839660783
"(7,60)",grid region A (volatile),0.38588309379472485,0.2752663811589524,1106.1671263577243,0.8486629242305324,0.6785805038297006,0.17008242040083177,1.2206968832886331,0.9620047957744223,0.2586920875142108,-0.7951088160438207,-0.8254946316333427,303.85815589522025,5.988758505078394
"(20,315)",grid region B (calm),0.25640239260646713,0.2647554970488597,-83.53104442392566,0.6354923564728988,0.6463804297243149,-0.010888073251416053,0.8973888788814587,0.9147267539826932,-0.017337875101234523,-0.8494752948878554,-0.8446924806273648,-47.82814260490653,1.2176313972980968
"(10,200)",symmetric baseline,0.24203539078498681,0.18499588559255042,570.3950519243639,0.618621155384975,0.5347797787240379,0.08384137666093705,0.8665658394894368,0.7415857505678608,0.12498008892157597,-0.9008858372127343,-0.9300170383414758,291.3120112874146,2.460112414949216
