strategy,CAGR,Sharpe,Sortino,Volatility,MDD,MDD_Entry,Max_Recovery_Days,Trades_Yr
"P1 Asym (50,350,26,345)",0.2991190068275822,0.6897047929087775,0.98925033529737,0.6016300815023653,-0.8446924806273648,-0.3997081340261174,3409,6.822113888600768
"VolAdapt (45,158,lb73,s0.4)",0.345537770272218,0.7542758735445657,1.0853613314608777,0.5788199008203092,-0.7987010639536838,-0.5884338485964876,1891,1.1762265325173737
"Regime (lo48,323|hi15,229)",0.3491726162200026,0.7622195420365723,1.0881665033587489,0.5712008291749127,-0.7987010639536839,-0.3923406717773349,2452,1.6989938803028732
"VolRegime (lo49,143|hi13,204)",0.35298005003313637,0.7657004628968,1.1033700183605784,0.5732934372244515,-0.8446924806273648,-0.4432417255057487,2456,1.6467171455243232
"Sym best (11,237)",0.3038203860481603,0.7031727109196613,1.0020321974883493,0.5673870540973408,-0.7987010639536839,-0.4121737508625125,1891,1.6989938803028732
"Sym (3,161) eulb",0.23668009787805944,0.6125056254184217,0.8607289155721145,0.5393862570472635,-0.9692586837660164,-0.871595561176768,4964,4.208277149673271
B&H 3x,0.14190823709847278,0.5293221833365408,0.7580252981743159,0.7907136963904864,-0.9997422234330884,-0.9997422234330884,6479,0.0
