fast_low,slow_low,fast_high,slow_high,vol_lookback,vol_threshold_pct,sortino,trades_yr,penalised
42,130,22,320,60,70.0,0.9988181,1.9134208,0.9605497
42,130,22,260,100,70.0,0.9908601,1.5158268,0.9605436
42,120,42,290,60,70.0,1.0065718,2.3110147,0.96035147
50,120,50,200,60,60.0,0.99358916,1.6649246,0.9602907
50,120,12,220,40,70.0,1.0074297,2.360714,0.96021545
42,130,50,240,40,70.0,1.001288,2.0625186,0.96003765
50,120,50,200,80,70.0,0.9962037,1.8140223,0.95992327
42,140,22,320,40,70.0,0.999132,1.96312,0.95986956
42,130,12,250,60,70.0,1.0030663,2.161917,0.9598279
42,130,12,60,60,60.0,1.033781,3.7025933,0.9597292
42,120,32,290,60,70.0,1.0039287,2.2116163,0.95969635
42,130,50,210,40,70.0,0.99970347,2.0128193,0.9594471
42,130,22,220,40,70.0,1.0016536,2.1122177,0.95940924
42,130,22,270,40,70.0,1.0045621,2.2613153,0.9593358
42,130,50,200,40,70.0,0.99957067,2.0128193,0.9593143
42,140,22,310,40,70.0,1.0004708,2.0625186,0.95922035
42,130,2,300,120,70.0,0.99922115,2.0128193,0.95896477
50,120,2,300,120,70.0,1.0002129,2.0625186,0.95896256
50,120,50,240,60,70.0,1.0019835,2.161917,0.9587452
42,120,42,220,80,70.0,0.9998619,2.0625186,0.95861155
50,110,12,240,40,70.0,1.0098,2.559511,0.9586097
42,130,12,260,40,70.0,1.0097827,2.559511,0.95859253
50,120,22,310,120,70.0,0.9869006,1.4164283,0.95857203
50,120,12,230,40,60.0,0.9967954,1.9134208,0.95852697
50,120,50,200,120,60.0,0.9928101,1.7146238,0.9585176
42,130,22,310,120,70.0,0.985833,1.3667291,0.9584984
42,130,2,310,40,70.0,1.0223933,3.205601,0.9582814
50,120,12,230,80,60.0,0.9914842,1.6649246,0.95818573
42,120,12,60,100,70.0,1.0272185,3.4540973,0.9581365
42,130,42,290,60,70.0,0.99933416,2.0625186,0.95808375
50,120,22,260,60,60.0,0.9942943,1.8140223,0.95801383
50,120,42,200,120,70.0,0.98914045,1.5655261,0.9578299
50,120,22,310,40,70.0,1.0069927,2.4601123,0.95779043
42,130,42,200,120,70.0,0.9880769,1.5158268,0.9577604
42,130,2,290,120,70.0,0.9989596,2.0625186,0.95770925
50,120,2,290,120,70.0,0.9999509,2.1122177,0.9577066
42,140,12,220,40,70.0,0.99990314,2.1122177,0.95765877
42,130,12,240,80,60.0,0.9919085,1.7146238,0.957616
42,140,32,280,60,70.0,0.99581337,1.9134208,0.9575449
42,140,12,240,20,70.0,1.0046953,2.360714,0.957481
42,130,2,310,60,70.0,1.0126364,2.758308,0.95747024
50,120,50,250,60,70.0,0.9996169,2.1122177,0.95737255
42,130,32,290,60,70.0,0.99660236,1.96312,0.95734
42,130,22,310,80,70.0,0.99659854,1.96312,0.9573361
42,130,12,240,20,70.0,1.0063083,2.4601123,0.95710605
42,140,50,330,60,70.0,0.9943421,1.8637215,0.9570676
42,120,22,320,60,70.0,1.0001712,2.161917,0.9569329
50,120,12,240,40,60.0,0.9969819,2.0128193,0.95672554
