Label,Fast_Low,Slow_Low,Fast_High,Slow_High,Vol_Lookback,Vol_Threshold,IS_CAGR,OOS_CAGR,CAGR_Degrad_pct,IS_Sortino,OOS_Sortino,Sortino_Degrad_pct,IS_MDD,OOS_MDD,IS_Trades_Yr,OOS_Trades_Yr
Regime A: Volatile-favoring,7,60,15,90,60,50.0,0.13892065990288893,0.22745902401484064,-63.73304314408206,0.6381614848432623,0.8387318531767131,-31.42940667795276,-0.8516756759201155,-0.528615635323114,5.811779293242406,5.300739056281978
Regime B: Moderate,10,150,20,200,60,50.0,0.10479038740514635,0.3412834660798525,-225.68203489921612,0.5821253453698741,1.0468461643459834,-79.83174460147107,-0.9456867890288099,-0.7118470607602223,2.6871667699938007,1.2893689596361568
Regime C: Symmetric (control),3,161,3,161,60,50.0,0.15338585054379617,0.5425759426553585,-253.73272093336737,0.6758308075336199,1.5009082606229784,-122.08343329307523,-0.9692586837660164,-0.4820587999511935,4.624426534407935,1.86242183058556
Regime D: Conservative,12,250,25,300,50,45.0,0.2390738002955075,0.3537624523967451,-47.97207053197653,0.8745921861963831,1.0976635128879342,-25.50575344855208,-0.7987010639536839,-0.5739597235423646,1.812275263484191,1.2893689596361568
