trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,CAGR,Sharpe,MDD
0,20,336,37,230,0.7973547334843809,0.20406618288371825,0.5551779357458755,-0.8734311767078612
1,9,96,4,310,0.8487662857673366,0.2310076294137806,0.5931499461633483,-0.877586131622389
2,31,263,3,341,0.688299775651894,0.15449749182495998,0.48549441493748147,-0.9089616897113699
3,42,113,10,105,0.7016442181466191,0.16373882165867792,0.4905712220410274,-0.8554136166065103
4,16,207,23,137,0.6221447642402373,0.12847176199378962,0.43909082438169167,-0.9288210750834255
5,31,91,16,160,0.6101372446584575,0.12300641413134072,0.4325136680388533,-0.9758803974115864
6,24,286,11,204,0.7569928133817453,0.18467885371428916,0.5262898492767647,-0.8587308986415944
7,31,63,31,101,0.7983438449453506,0.20739164832234702,0.5597099272696947,-0.9287806078244231
8,5,335,49,293,0.8704834607319943,0.23893765195861172,0.6032158593144725,-0.8855875161926446
9,16,79,35,182,0.7818758801104603,0.19667752365888713,0.5461667618840452,-0.9235281727885076
10,3,192,49,274,0.8295317953421493,0.21782752430375285,0.574765942813312,-0.9443809988040328
11,2,153,49,345,0.8538458345167155,0.23097051843558325,0.5933055862921902,-0.9672974842468949
12,3,164,50,271,0.8088811643853087,0.20844809982493628,0.562437916915681,-0.9685516030261343
13,10,348,43,341,0.8957263824933714,0.2524948328976473,0.6213793995341911,-0.8883677228752895
14,10,350,41,279,0.8329894387698131,0.2202508891996784,0.5779455024856511,-0.8484896512161707
15,10,301,42,307,0.8968116980336055,0.25190293533867547,0.6203766379819118,-0.866378398764905
16,44,286,42,239,0.8136223673702362,0.2104176064123897,0.56394500562144,-0.8600119356002796
17,12,248,29,315,0.9217789203325224,0.26561680118306463,0.6387325807731196,-0.8719766594662477
18,15,246,25,244,0.9069514784006095,0.2577667849362615,0.6295555419264145,-0.7987010639536838
19,17,219,24,246,0.9121559775069996,0.2607644907071427,0.6337576316900622,-0.8258575479183708
20,23,225,22,217,0.8654117849435279,0.237516903853505,0.6021279535386017,-0.798701063953684
21,17,244,29,252,0.913462303991857,0.26153051163248553,0.6346276866170376,-0.846908509507599
22,21,239,30,261,0.9211053316157635,0.2642619704593938,0.6377542565400731,-0.8446924806273648
23,27,255,29,56,0.4683406831991628,0.06440174537453358,0.3315981392942403,-0.9006779536352202
24,39,184,31,317,0.9607939388667194,0.2850092286030508,0.663544124792949,-0.8691563823854271
25,49,167,19,314,0.7782381779371319,0.1940220091470939,0.5413268040688662,-0.9675576550762881
26,38,183,34,317,0.8386400299557152,0.22293269842709185,0.5818521482464072,-0.9468218790154743
27,37,133,31,289,0.8837796784516363,0.24415243720718705,0.6098769330812427,-0.9026816347699002
28,37,221,37,326,0.9115564964603893,0.2594030444353914,0.6302907803528306,-0.869903193548892
29,21,308,19,226,0.845790779582985,0.2267863316176173,0.5866836818918397,-0.8292134826503978
30,26,276,38,262,0.8591816332372474,0.23261897889840477,0.5944855021379029,-0.8674004062372493
31,19,250,27,255,0.9083760645782947,0.25890711014277557,0.6310815740258442,-0.8558711653528593
32,13,231,32,299,0.8553275276051527,0.2316578718915494,0.5934778662086863,-0.897243904603896
33,20,200,28,332,0.8904856090880501,0.24923632567614074,0.6169440000051917,-0.9102203313494553
34,29,236,29,191,0.8505887852585475,0.2292233091862108,0.5901400514137912,-0.8282148631431663
35,6,268,34,287,0.863508378341488,0.23502725003678626,0.5978099985436492,-0.8446924806273647
36,14,208,20,215,0.8707564557802024,0.24057831906238558,0.6063332552406582,-0.8353444177849314
37,34,136,26,263,0.8396020212064866,0.22543304526955144,0.5854432311938405,-0.9549169268136026
38,12,181,32,350,0.8028720421927662,0.20634310169018377,0.560221797381623,-0.9710832421608565
39,24,298,10,322,0.8598642892976777,0.23510944521905808,0.5985101143828533,-0.896179531955359
40,18,244,38,174,0.8308885035146942,0.22086490549308557,0.5787310136523064,-0.8354697706031233
41,17,205,24,246,0.8678181115973729,0.2390898124472871,0.6040791631830223,-0.8270028212618672
42,21,260,22,229,0.9025923523175826,0.2555683681715246,0.626818596932254,-0.811438627157271
43,7,215,16,295,0.9547183090833838,0.28238040760971894,0.6625339368990943,-0.848375205157367
44,7,214,6,301,0.9467782520065415,0.27782605438989894,0.6570484782851757,-0.7987010639536838
45,6,191,6,302,0.8796771988056216,0.24478229764677795,0.6118625759743073,-0.8515551165824025
46,8,212,2,278,0.9081077934560181,0.2580051879694294,0.6311152844107702,-0.7987010639536839
47,8,174,14,334,0.8026969555281578,0.20687429191959383,0.559790675518918,-0.9652067404465915
48,12,156,6,305,0.8338760275240835,0.22283523856122,0.5816982792968577,-0.9206254939133863
49,5,143,16,292,0.8032463426449512,0.2068647578668803,0.559919037026255,-0.9413828197850911
50,43,195,13,143,0.5761323165892495,0.10832554930062988,0.4066794091297415,-0.9467822384420359
51,11,231,8,270,0.900537317106528,0.254468917279165,0.62558876880758,-0.8099079191507363
52,8,243,30,312,0.9064251174323469,0.25774834144133885,0.6283093817341799,-0.8966665798415532
53,15,271,27,281,0.8842833158896535,0.24625184882197648,0.6133512454526238,-0.8446924806273648
54,2,216,34,325,0.888567422550915,0.24797600380959328,0.6151761668256048,-0.8838661921017588
55,49,285,36,258,0.8212100419421273,0.21485122246435973,0.5701561968152216,-0.888336020126382
56,46,237,4,299,0.6687503905658179,0.14541441346826733,0.4709459478300371,-0.8876443559349597
57,4,221,17,336,0.9594354197536674,0.2842148252656862,0.6629470747336083,-0.8618786597181799
58,4,185,16,340,0.9447329810687264,0.2769945320110223,0.6533622819298855,-0.8977430179953778
