trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr,Penalized
24,46,252,34,185,0.8506896018187335,0.22781322826174377,0.5956997190271551,-0.851353138175431,-0.6566527841297076,13.357981820038813,0.5835299654179573
25,37,268,19,129,0.6663043732379794,0.14672549144822455,0.47498940050369515,-0.9231232428910192,-0.7601582406648787,27.25646001429885,0.12117517295200242
26,35,313,26,235,0.8505762699505162,0.22892713388488395,0.5971912422977614,-0.9031936215319433,-0.5691634022456697,14.130119497497702,0.567973880000562
27,45,133,32,210,0.8932644819112824,0.24913089253642373,0.6250470698682016,-0.8840386111935912,-0.6232526608984352,8.519252374629762,0.7228794344186872
28,47,133,32,191,0.9169242970730177,0.2620914184759373,0.6442146536086515,-0.819298748750601,-0.592570006806777,7.489735471351241,0.7671295876459929
29,47,132,37,247,0.8262610217510943,0.21637572976844832,0.5795207516838436,-0.9524438442524414,-0.7964793941843182,10.990092942498213,0.60645916290113
30,26,132,32,218,0.8269188836659119,0.21865901673098032,0.5833173729394708,-0.8874672504147967,-0.6650745790776109,10.78418956184251,0.6112350924290617
31,47,188,31,190,0.9314594140718564,0.26713676034795886,0.6508432159227289,-0.7987010639536838,-0.5616239319803269,6.820549484220202,0.7950484243874524
32,47,188,38,198,0.882726202777938,0.24371027356220742,0.6179300691933273,-0.822716881010593,-0.6002600223400092,4.452660606679604,0.7936729906443459
33,48,183,38,186,0.8590665269697886,0.23340482986744204,0.6041658092990894,-0.7987010639536839,-0.6464680450224516,4.452660606679604,0.7700133148361965
34,48,186,39,188,0.9027309951155167,0.2536568655617144,0.6319070281157195,-0.7987010639536838,-0.6096207498075199,4.143805535696048,0.8198548844015957
35,50,191,38,129,0.912075645823994,0.25630418767329965,0.6373211180650488,-0.816653183529844,-0.6803391343469634,17.527525278316823,0.5615251402576575
36,38,177,39,166,0.8293768582874549,0.2195301095570441,0.5845845508562786,-0.9046823816485958,-0.7184880848901964,3.629047084056787,0.7567959166063192
37,34,156,46,149,0.8200193302778658,0.21474840411640206,0.5776002185959346,-0.8759624112883622,-0.6559253419453028,7.438259626187316,0.6712541377541195
38,40,189,46,105,0.6697975818459068,0.14598052609017453,0.47340987379444394,-0.9236990351075064,-0.7995163433618214,21.491165355939128,0.23997427472712418
39,48,205,36,322,0.9194740130534338,0.2620311565942057,0.6411983234138038,-0.8446924806273648,-0.6729798089084982,6.769073639056277,0.7840925402723082
40,29,205,36,319,0.9001637774179313,0.25287290664992734,0.6289628229648502,-0.8832104748079092,-0.5767444320058397,7.644163006843019,0.7472805172810709
41,47,221,39,199,0.9152080172751897,0.2597450609642713,0.6402508282451355,-0.7987010639536839,-0.651193549071158,6.254315187417016,0.7901217135268495
42,48,221,45,200,0.8966749296085693,0.2509460991694745,0.6280200289263053,-0.798701063953684,-0.6746761034545132,5.379225819630273,0.7890904132159638
43,41,226,44,200,0.9011961887163491,0.25311292504444993,0.6311405274472758,-0.8068639624949205,-0.612812177841179,5.070370748646717,0.7997887737434147
44,40,226,41,174,0.8764570493359909,0.23997653730154034,0.6130668226954533,-0.8622466323637459,-0.766135049530478,10.217955265039322,0.6720979440352044
45,45,147,44,236,0.8090257892776388,0.20843168800609768,0.5684656212472419,-0.959853919848146,-0.7572791298782847,9.909100194055766,0.6108437853965235
46,42,267,34,198,0.9019522814581065,0.25252808258861115,0.6298592136895097,-0.8433116905225213,-0.6586705578734424,11.5563272393014,0.6708257366720785
47,34,199,40,154,0.8826941978524937,0.24522954086167492,0.6215084092231845,-0.7987010639536839,-0.6832899381803584,11.247472168317843,0.6577447544861368
48,19,104,30,141,0.7861501190879101,0.20125908006034843,0.5584253095926018,-0.9195259693709373,-0.7385151806411987,10.835665407006434,0.5694368109477814
49,46,175,10,173,0.7640754002304222,0.19146405625335827,0.5445928215796255,-0.8501230832422535,-0.7390551616708075,14.387498723317332,0.47632542576407555
50,50,212,48,198,0.8937485185567705,0.24958081658874498,0.626231835650325,-0.7987010639536839,-0.6431598419487072,4.092329690532122,0.8119019247461281
51,50,211,47,196,0.8941871543104067,0.24959266669785096,0.6262236226241963,-0.798701063953684,-0.6556217012465797,4.50413645184353,0.8041044252735361
52,50,208,49,226,0.9024254300974284,0.2538225770933229,0.631587467068254,-0.798701063953684,-0.6482665485847949,1.9303441936472272,0.8638185462244838
53,50,210,50,230,0.8990775407740931,0.2526990479238056,0.6300603978252823,-0.8038461778843764,-0.6733405186744326,2.033295883975079,0.8584116230945915
54,50,251,50,230,0.9208805718186481,0.26203225830311094,0.6421305192151506,-0.8068750196905471,-0.6800138434254881,3.629047084056787,0.8482996301375124
55,50,253,50,245,0.9047235677234244,0.25427840213680963,0.6314998958918149,-0.8446924806273648,-0.6386237642024994,2.3421509549586355,0.8578805486242518
56,49,251,49,257,0.9120516396424537,0.2579423342992244,0.6363062014387781,-0.8446924806273649,-0.6505443082261141,1.2096823613522623,0.8878579924154085
