trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD,Penalized_Score
0,20,336,37,230,0.7973547334843809,15.818329718004339,0.20406618288371825,0.5551779357458755,-0.8734311767078612,0.4809881391242941
1,9,96,4,310,0.8487662857673366,14.178416485900218,0.2310076294137806,0.5931499461633483,-0.877586131622389,0.5651979560493322
2,31,263,3,341,0.688299775651894,7.550433839479393,0.15449749182495998,0.48549441493748147,-0.9089616897113699,0.5372910988623062
3,42,113,10,105,0.7016442181466191,20.259761388286336,0.16373882165867792,0.4905712220410274,-0.8554136166065103,0.29644899038089245
4,16,207,23,137,0.6221447642402373,19.57646420824295,0.12847176199378962,0.43909082438169167,-0.9288210750834255,0.23061548007537835
5,31,91,16,160,0.6101372446584575,12.606832971800435,0.12300641413134072,0.4325136680388533,-0.9758803974115864,0.3580005852224488
6,24,286,11,204,0.7569928133817453,16.6382863340564,0.18467885371428916,0.5262898492767647,-0.8587308986415944,0.4242270867006173
7,31,63,31,101,0.7983438449453506,14.246746203904555,0.20739164832234702,0.5597099272696947,-0.9287806078244231,0.5134089208672594
8,5,335,49,293,0.8704834607319943,11.035249457700651,0.23893765195861172,0.6032158593144725,-0.8855875161926446,0.6497784715779813
9,16,79,35,182,0.7818758801104603,21.76301518438178,0.19667752365888713,0.5461667618840452,-0.9235281727885076,0.3466155764228247
10,3,192,49,274,0.8295317953421493,14.45173535791757,0.21782752430375285,0.574765942813312,-0.9443809988040328,0.5404970881837978
11,2,153,49,345,0.8538458345167155,17.321583514099785,0.23097051843558325,0.5933055862921902,-0.9672974842468949,0.5074141642347197
12,10,349,42,283,0.8686309283101429,11.51355748373102,0.238225996299275,0.6023435260506977,-0.8539443332984229,0.6383597786355225
13,10,348,42,267,0.8532192185088752,13.905097613882864,0.23010291504974068,0.5913104875460619,-0.8446924806273649,0.5751172662312178
14,9,293,43,259,0.8784778266220649,12.470173535791757,0.24205308720999263,0.6072548696302371,-0.8446924806273648,0.6290743559062297
15,46,314,42,303,0.8737705505927976,3.245661605206074,0.2408783514338,0.6059360520208363,-0.9057265399619365,0.8088573184886761
16,50,242,25,318,0.874599578342851,5.842190889370933,0.24097033067097118,0.6060616803583362,-0.8854236632962602,0.7577557605554323
17,50,234,23,314,0.8079094627841357,6.662147505422993,0.20738973352823775,0.5592779515420084,-0.9085043459367464,0.6746665126756758
18,48,292,28,244,0.8405426765778213,11.92353579175705,0.22337121521889203,0.5819014396305482,-0.8444768441706184,0.6020719607426803
19,41,246,17,221,0.8386672380709119,10.21529284164859,0.22416007970664986,0.5833150516263566,-0.798701063953684,0.6343613812379401
20,43,182,32,320,0.8858637646687171,9.531995661605206,0.24699832183724335,0.6139863417302547,-0.9327045603215365,0.6952238514366129
21,41,165,34,329,0.8478086065884739,11.171908893709327,0.22745401688936728,0.5879912555340968,-0.9384061522970257,0.6243704287142874
22,46,214,27,306,0.8266101771507032,6.457158351409978,0.2163977512164139,0.5719825959219762,-0.8934845986197943,0.6974670101225036
23,36,225,25,56,0.3755260788958187,49.43655097613883,0.027230942660418034,0.26678174220622647,-0.9496335690358397,-0.613204940626958
24,47,129,18,304,0.9356986770715775,13.426789587852495,0.27045211933126856,0.644673428853319,-0.8882593915645289,0.6671628853145276
25,37,268,38,347,0.8737730123534564,4.8855748373101955,0.241194185422118,0.6064443555489215,-0.9356004099986122,0.7760615156072525
26,37,264,39,331,0.8678913897006248,4.475596529284165,0.23790387892237352,0.6019691297686087,-0.9298385600723823,0.7783794591149416
27,37,315,45,350,0.9116843485578379,3.587310195227766,0.2601857016401896,0.6312914766501084,-0.8974149052599617,0.8399381446532825
28,37,305,45,252,0.7744060967951084,11.376898047722342,0.19194946913643585,0.5382520534296691,-0.903133249442336,0.5468681358406615
29,26,321,37,234,0.8114653193986373,13.700108459869849,0.20958607930063766,0.5629092065795209,-0.8756645864025747,0.5374631502012404
30,33,319,40,287,0.942244291737133,6.183839479392625,0.27468095243740076,0.650492695486622,-0.8446924806273648,0.8185675021492804
31,34,317,39,285,0.8902704808759354,6.320498915401302,0.24821376697305753,0.6155798049923903,-0.8545965561332243,0.7638605025679094
32,25,270,46,349,0.9468875545177113,6.320498915401302,0.27855571102742016,0.6550043122761846,-0.8830023196839154,0.8204775762096853
33,25,324,45,348,0.883372090086161,5.158893709327549,0.24568223303785586,0.6122764864258717,-0.9016606807106791,0.78019421589961
34,22,274,46,298,0.9026465848964778,5.295553145336226,0.25503962253539414,0.6245887648729606,-0.8716900909869522,0.7967355219897533
35,28,312,41,333,0.8771228181316554,3.382321041214751,0.24278050328605638,0.6085229528662756,-0.9233159685093998,0.8094763973073603
36,29,301,46,333,0.8723064673581417,4.338937093275488,0.24059176320988573,0.6056514397207279,-0.924169474698552,0.7855277254926318
37,18,282,50,325,0.921369224760397,5.705531453362256,0.26512417229279617,0.6376867414311543,-0.9177009860221336,0.8072585956931518
38,28,333,40,350,0.8912600580632793,3.587310195227766,0.24944916770538228,0.6171852487153765,-0.9066679471888539,0.819513854158724
39,33,335,30,350,0.8910898871168598,1.3324295010845988,0.2497807992843697,0.617755192842739,-0.8706719597618824,0.8644412970951678
40,20,336,30,350,0.919304534298898,3.245661605206074,0.2640054385872539,0.6364342462089435,-0.8446924806273647,0.8543913021947765
41,21,336,32,350,0.8975068006559849,3.382321041214751,0.2536994161726256,0.6230196954988073,-0.895391388761949,0.8298603798316898
42,21,341,29,336,0.9137770968216462,2.425704989154013,0.2610529487548805,0.6325972065402368,-0.8578093704661053,0.8652629970385659
43,21,340,30,335,0.9351052182586294,2.6990238611713666,0.27192437787850277,0.6468129890769468,-0.8446924806273649,0.881124741035202
44,14,346,29,315,0.9164035955091101,4.817245119305857,0.2628890092558014,0.6352218727481636,-0.881672913358782,0.820058693122993
45,13,334,20,148,0.7362929962705608,28.527657266811282,0.178056298860783,0.5177918003758709,-0.8491864261036765,0.16573985093433508
46,23,302,5,181,0.7550337995518793,23.47125813449024,0.18345984708688445,0.5236651539773711,-0.9156050193184258,0.28560863686207455
47,19,348,35,335,0.8884453925001365,4.202277657266811,0.24819092513132723,0.6155656731592899,-0.871579655421288,0.8043998393548003
48,16,330,22,321,0.9695000761778749,2.4940347071583515,0.2890307568814534,0.6694496537095327,-0.8446924806273647,0.9196193820347079
49,17,332,30,114,0.7001230135255383,36.112255965292846,0.15777928872741742,0.48562634191265,-0.8175855330622653,-0.02212210578031859
50,20,289,21,274,0.869176577664353,3.997288503253796,0.23957695566629145,0.6047093035951586,-0.8449565034102984,0.789230807599277
51,14,329,14,316,0.9249918311222706,1.879067245119306,0.2668916174941993,0.6409822728220002,-0.8446924806273649,0.8874104862198845
52,13,328,13,319,0.934605109148309,1.8107375271149675,0.27195006987772374,0.6477803843008202,-0.844692480627365,0.8983903586060096
