Strategy,CAGR,Sharpe,Sortino,MDD,MDD_Entry,Volatility,Trades_Yr,Weight
P1 Optimal (Phase 3v2),0.25208393854515787,0.6324802697461535,0.8954068449787566,-0.8343760860187812,-0.4480744358919678,0.5582148394482349,2.1694844933098225,0.4
P2 Conservative,0.25606638694862394,0.6379791472999735,0.9042691421405584,-0.8124239025048954,-0.43984334496757294,0.5590977180487289,2.3263146976454725,0.3
P3 Balanced,0.2593468023181287,0.642989269590582,0.9101250848475774,-0.8341504767475836,-0.462022927231466,0.5576159807794231,2.2217612280883725,0.2
P4 Adaptive,0.24670590308558893,0.6250457602133094,0.8826016580592747,-0.8593857850911306,-0.4536485478993162,0.5573283038115404,2.012654288974173,0.1
ENSEMBLE (Weighted Average),0.21631747529890055,0.5827379939626641,0.8155531992329123,-0.839263543575373,-0.8184422294690696,0.565501452186687,2.1694844933098225,1.0
