slow,fast,leverage,CAGR,Sharpe,Sortino,Vol,MDD,MDD_Entry,Trades_Year,Total_Trades,Max_Recovery_Days
51,18,3,0.247883,0.656182,0.907028,0.389010,-0.896518,-0.791601,4.762822,255,3511
51,19,3,0.217906,0.592897,0.812966,0.391242,-0.937891,-0.841262,4.800178,257,4490
51,20,3,0.210501,0.577314,0.791658,0.391123,-0.935925,-0.812410,4.762822,255,4494
51,21,3,0.205365,0.565644,0.774629,0.393028,-0.940993,-0.827250,4.725467,253,5151
51,22,3,0.189954,0.532409,0.727588,0.394564,-0.937534,-0.821917,4.800178,257,6490
51,23,3,0.196059,0.545255,0.745283,0.394928,-0.926491,-0.792484,4.688111,251,5258
51,24,3,0.199303,0.551691,0.755215,0.395889,-0.946805,-0.855225,4.650756,249,5240
51,25,3,0.190676,0.532834,0.728137,0.397949,-0.927145,-0.801718,4.762822,255,5247
51,26,3,0.173547,0.496391,0.675138,0.399986,-0.944485,-0.790228,4.762822,255,6490
51,27,3,0.181024,0.511926,0.696880,0.401416,-0.927019,-0.720115,4.762822,255,5239
51,28,3,0.184657,0.519658,0.707802,0.401098,-0.928700,-0.726559,4.725467,253,5214
51,29,3,0.203098,0.557732,0.763014,0.401932,-0.910837,-0.714193,4.781500,256,4646
51,30,3,0.196277,0.543804,0.743213,0.401308,-0.909031,-0.717008,4.818856,258,4593
51,31,3,0.199604,0.550416,0.752168,0.402290,-0.897571,-0.750080,4.818856,258,4494
51,32,3,0.219028,0.590248,0.810483,0.402188,-0.838928,-0.735429,4.669434,250,3508
51,33,3,0.201787,0.555220,0.759873,0.401284,-0.850184,-0.745306,4.781500,256,4457
51,34,3,0.182951,0.515709,0.701830,0.403381,-0.862356,-0.747704,4.669434,250,4615
51,35,3,0.170659,0.489874,0.665866,0.402908,-0.898337,-0.721260,4.818856,258,4494
51,36,3,0.166067,0.480055,0.652465,0.403194,-0.923582,-0.807005,4.744145,254,4494
51,37,3,0.145702,0.436703,0.589792,0.404215,-0.961925,-0.886434,4.744145,254,6490
51,38,3,0.165146,0.477672,0.648766,0.407543,-0.954883,-0.859880,4.856211,260,5005
51,39,3,0.133273,0.409727,0.554084,0.410223,-0.973147,-0.907497,4.893567,262,6446
51,40,3,0.120947,0.382947,0.516710,0.408881,-0.978321,-0.915502,5.005633,268,6490
51,41,3,0.130289,0.403108,0.546696,0.412309,-0.967919,-0.880954,5.379188,288,6490
51,42,3,0.118983,0.379994,0.513326,0.416537,-0.960246,-0.885300,5.696709,305,6490
51,43,3,0.120289,0.382768,0.517459,0.416487,-0.953530,-0.869040,6.107619,327,6490
51,44,3,0.123183,0.388821,0.525497,0.414715,-0.953959,-0.871997,6.369108,341,6490
51,45,3,0.130720,0.404950,0.548955,0.417615,-0.954845,-0.860952,7.041506,377,6445
51,46,3,0.134084,0.411956,0.559925,0.419146,-0.948581,-0.852758,7.639194,409,6490
51,47,3,0.124603,0.391779,0.532631,0.418658,-0.940748,-0.825175,8.199526,439,6490
51,48,3,0.123731,0.390952,0.529498,0.422228,-0.953642,-0.878425,9.432256,505,6428
51,49,3,0.098229,0.336482,0.454306,0.421527,-0.963798,-0.893444,10.777053,577,6490
51,50,3,0.073383,0.282019,0.379368,0.421282,-0.971623,-0.907081,14.363178,769,6490
52,2,3,0.319086,0.816681,1.141029,0.372701,-0.765433,-0.726024,10.029944,537,1847
52,3,3,0.286874,0.747390,1.040367,0.375728,-0.847532,-0.734501,8.685147,465,4785
52,4,3,0.271834,0.715171,0.994148,0.376731,-0.849631,-0.738157,7.900682,423,5007
52,5,3,0.276131,0.724954,1.006825,0.375900,-0.829752,-0.686801,7.265639,389,4305
52,6,3,0.280588,0.733049,1.021508,0.377057,-0.798317,-0.605018,6.966795,373,3764
52,7,3,0.282693,0.735899,1.024129,0.378752,-0.847395,-0.686565,6.443819,345,3482
52,8,3,0.272998,0.715497,0.994037,0.379190,-0.867225,-0.765526,6.182330,331,4317
52,9,3,0.274596,0.716916,0.996884,0.381309,-0.805506,-0.642950,5.920842,317,3802
52,10,3,0.262161,0.690527,0.958744,0.382146,-0.850657,-0.725839,5.846131,313,4268
52,11,3,0.273422,0.712766,0.991395,0.383299,-0.815085,-0.721699,5.547287,297,2710
52,12,3,0.286186,0.738431,1.027956,0.383742,-0.803890,-0.642440,5.547287,297,1842
52,13,3,0.264212,0.690597,0.958629,0.387574,-0.812207,-0.648645,5.248444,281,2536
52,14,3,0.272844,0.707531,0.983072,0.388338,-0.811798,-0.642446,5.136377,275,1679
52,15,3,0.264236,0.690022,0.958285,0.388347,-0.827799,-0.672846,4.912244,263,1842
52,16,3,0.260238,0.681279,0.944190,0.389267,-0.866671,-0.726107,4.837533,259,1920
52,17,3,0.252889,0.666407,0.921808,0.389098,-0.888915,-0.771802,4.688111,251,3482
52,18,3,0.230860,0.620128,0.853012,0.390657,-0.926018,-0.810917,4.688111,251,4493
52,19,3,0.216380,0.589784,0.808768,0.391014,-0.923959,-0.777379,4.725467,253,4470
52,20,3,0.209196,0.574224,0.787182,0.391858,-0.937717,-0.817656,4.725467,253,5147
52,21,3,0.204649,0.563956,0.772174,0.393496,-0.924874,-0.785824,4.725467,253,5150
52,22,3,0.199616,0.552821,0.756511,0.394765,-0.932020,-0.806196,4.688111,251,5247
52,23,3,0.189188,0.530806,0.724881,0.394513,-0.940463,-0.818455,4.613401,247,6490
52,24,3,0.186317,0.524173,0.716391,0.395967,-0.939335,-0.834894,4.576045,245,5250
52,25,3,0.177699,0.505397,0.689908,0.397465,-0.923884,-0.792844,4.650756,249,6490
52,26,3,0.177595,0.504854,0.687361,0.400495,-0.931480,-0.721109,4.650756,249,6420
