trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD,Penalized_Score
27,19,263,27,303,0.8863139004218649,3.792299349240781,0.2461678694931786,0.6128684927963712,-0.865090387140222,0.8863139004218649
28,26,270,10,326,0.878339137350996,5.090563991323211,0.24399702560641923,0.6107560992722163,-0.8449565034102982,0.878339137350996
29,19,314,16,234,0.8770762060649117,13.22180043383948,0.24303042169208688,0.6095314585772814,-0.8251534694619144,0.8770762060649117
30,13,222,38,210,0.8384180963053035,8.712039045553146,0.22402224550651906,0.5831186701542853,-0.8236690935054384,0.8384180963053035
31,22,173,21,333,0.9127734101827908,10.488611713665945,0.26040724093726,0.6315665705443612,-0.9051368561760715,0.9127734101827908
32,28,326,23,348,0.9126210382718899,2.1523861171366594,0.26095616069513117,0.6327572195996222,-0.87437637290766,0.9126210382718899
33,21,268,13,297,0.9406218863812478,3.8606290672451196,0.273322724803686,0.6501977609518886,-0.8290394402113869,0.9406218863812478
34,13,267,6,298,0.8552960647344207,3.450650759219089,0.23287689962043334,0.5955776929469508,-0.7987010639536839,0.8552960647344207
35,19,277,14,257,0.8682935201939112,5.773861171366595,0.23855336772983748,0.6033240186368278,-0.8427554497164291,0.8682935201939112
36,36,256,5,302,0.8294387035928016,7.755422993492408,0.2192154800853432,0.5761456493146053,-0.8440827805136368,0.8294387035928016
37,30,301,18,278,0.8528977099944515,7.755422993492408,0.23013065085930484,0.5913455489761135,-0.8290394402113868,0.8528977099944515
38,25,125,9,317,0.8190151479726344,12.81182212581345,0.2156803912107761,0.5719919487167656,-0.938621272275824,0.8190151479726344
39,20,318,13,327,0.9596767727000401,2.630694143167028,0.28360042666049723,0.6625889097851255,-0.8446924806273648,0.9596767727000401
40,20,224,13,328,0.8786890551792855,5.432212581344903,0.2432675938664295,0.6093601782680029,-0.8446924806273648,0.8786890551792855
41,20,323,17,333,0.9945626019178119,1.3324295010845988,0.3016416446053831,0.6858566933089802,-0.8446924806273648,0.9945626019178119
42,33,282,17,330,0.9394169289920989,4.7489154013015185,0.2733132692209663,0.6491071447718875,-0.8446924806273648,0.9394169289920989
43,17,331,12,350,0.9450887823140749,2.2890455531453364,0.2762251580092703,0.6527155709632604,-0.8446924806273646,0.9450887823140749
44,18,333,7,335,0.9016048660909776,4.202277657266811,0.2560225915378864,0.6271716401300478,-0.8290394402113865,0.9016048660909776
47,29,293,16,348,0.9705496698480421,4.8855748373101955,0.28903838776667024,0.6695837658726677,-0.8446924806273648,0.9705496698480421
48,29,299,16,311,0.9029284868184191,4.407266811279826,0.2553917228040017,0.6256341984156993,-0.8446924806273649,0.9029284868184191
50,24,254,8,281,0.8141193699506029,5.97885032537961,0.21405375808644167,0.5704217793052027,-0.8163165657442172,0.8141193699506029
51,21,316,11,349,0.9419855209814615,2.97234273318872,0.274589016148171,0.6508297339190411,-0.8446924806273646,0.9419855209814615
52,12,324,15,335,0.928114683062814,2.015726681127983,0.26857402816136533,0.6431059840725261,-0.8446924806273648,0.928114683062814
53,27,295,12,325,0.9469769271571966,4.065618221258134,0.27693914302923117,0.6539030586850535,-0.8446924806273647,0.9469769271571966
54,33,303,19,322,0.931290811364253,3.997288503253796,0.27017407005607574,0.644977370180005,-0.859714050197766,0.931290811364253
55,27,294,17,314,0.9254890524221403,3.3139913232104123,0.26590558918931007,0.639348515185968,-0.8446924806273647,0.9254890524221403
56,23,275,29,267,0.9275119348145775,4.133947939262473,0.2677125450745348,0.6423676755840948,-0.8446924806273648,0.9275119348145775
57,30,344,22,336,0.9120496124985912,2.8356832971800436,0.2605577773222776,0.6322289957225523,-0.889434477978239,0.9120496124985912
58,24,248,19,307,0.8881959080852367,3.792299349240781,0.24773782498494756,0.6155825607890651,-0.8446924806273648,0.8881959080852367
59,27,287,11,292,0.8856178907825484,6.183839479392625,0.24730739551701353,0.6153065249752829,-0.8426546143934872,0.8856178907825484
60,47,312,25,322,0.8924728366368136,5.842190889370933,0.2501214866228636,0.6182851024997882,-0.8855873167278161,0.8924728366368136
62,17,334,15,339,0.9466657414558994,1.3324295010845988,0.277103983481759,0.6539285122471868,-0.8446924806273647,0.9466657414558994
63,22,320,16,337,0.9351971022198461,2.1523861171366594,0.27144554628051165,0.6464704199111462,-0.8509346856400161,0.9351971022198461
64,20,350,21,324,0.9761611897423215,2.4940347071583515,0.29220527299532106,0.6735687935741315,-0.8446924806273648,0.9761611897423215
65,25,349,21,309,0.907065831692594,4.817245119305857,0.2573406667095832,0.6278764471751789,-0.8446924806273648,0.907065831692594
66,20,309,19,326,0.9830488033819665,1.3324295010845988,0.29579430005313423,0.6783682403457989,-0.8446924806273648,0.9830488033819665
67,21,309,20,288,0.9387694433795752,3.792299349240781,0.27249010108565996,0.648203174349756,-0.8446924806273648,0.9387694433795752
68,23,338,18,326,0.9555232386008035,2.56236442516269,0.2823016136271359,0.6608672838756935,-0.8454314111774182,0.9555232386008035
69,20,320,26,309,0.8974391262674141,2.767353579175705,0.2529185104008387,0.6220716140982567,-0.8784696459916697,0.8974391262674141
70,19,279,22,340,0.9517008568158218,3.587310195227766,0.2808260674979324,0.6588703574229505,-0.8675764669515718,0.9517008568158218
71,22,336,17,322,0.9341709649185518,3.1090021691973972,0.27152496002186055,0.6470326813569909,-0.85920277546205,0.9341709649185518
72,15,340,19,329,0.9766029195267291,2.0840563991323213,0.2929320557672357,0.6744175262451539,-0.8446924806273648,0.9766029195267291
73,15,349,19,315,0.9442521854307404,4.133947939262473,0.27681993082692546,0.6539701260392213,-0.848931653594601,0.9442521854307404
75,12,193,24,301,0.8755869112986663,9.668655097613883,0.24093507472464548,0.605781442373592,-0.8706251254908487,0.8755869112986663
76,18,323,14,330,0.98631979738914,2.015726681127983,0.2962376598924621,0.6783515903694635,-0.8446924806273649,0.98631979738914
77,18,326,18,338,0.967872233263157,1.3324295010845988,0.28822871018505913,0.6684027567576033,-0.8446924806273647,0.967872233263157
78,9,262,15,344,0.9243410138134711,4.68058568329718,0.26591485251891234,0.6391839169733289,-0.8543918875200829,0.9243410138134711
79,14,292,28,331,0.940304919170107,4.065618221258134,0.27448968069490864,0.6502239394631246,-0.8502853314353758,0.940304919170107
81,17,323,18,342,0.986750318580696,1.9473969631236443,0.2979724452984953,0.6809911336472828,-0.8446924806273649,0.986750318580696
82,18,326,14,318,0.9338132819055233,2.56236442516269,0.2700677119829624,0.644640616664649,-0.8573079568447667,0.9338132819055233
83,16,301,22,342,0.9584383970172895,3.1773318872017353,0.2843199078672525,0.6633770074625405,-0.8446924806273648,0.9584383970172895
84,19,339,18,330,0.9879503393231478,1.4690889370932756,0.29844313580572934,0.6816411905605445,-0.8446924806273647,0.9879503393231478
85,16,340,18,299,0.9072744372697116,5.363882863340564,0.25777394526163766,0.6288262813718142,-0.8571976348295871,0.9072744372697116
86,11,333,20,307,0.8859091940487589,4.7489154013015185,0.24709284904601936,0.6144026888070425,-0.8812048637355656,0.8859091940487589
87,14,313,23,329,0.9179486217242653,2.97234273318872,0.26359291332938684,0.636158965674281,-0.8912596783304219,0.9179486217242653
88,19,229,25,187,0.781945137912479,7.892082429501085,0.19785543875288547,0.5458225216109137,-0.8004013646742075,0.781945137912479
89,21,350,17,287,0.8269627763178682,8.575379609544468,0.21895668387748923,0.5762225368046718,-0.8711322338058893,0.8269627763178682
90,17,213,19,271,0.9285455122934251,4.9539045553145336,0.2687326407038211,0.6442923550842096,-0.8642048691268756,0.9285455122934251
