,CAGR,Volatility,Sharpe,Sortino,MDD,Beta,Alpha,Total Return,Max_Recovery_Days
P1 peak,0.3681722575309374,0.5783770263300425,0.7827755706839961,1.1329334460695277,-0.8446924806273647,,,161408.00707833096,1825.0
P2 peak,0.36121506036957296,0.5666295048327427,0.7792995195372691,1.1157542305623576,-0.798701063953684,,,132809.60001610545,1419.0
P3 peak,0.3619324569013431,0.5661836514147222,0.7803362869304651,1.1175188849785558,-0.8211759510381452,,,135513.60909053768,1885.0
P5 peak,0.35401150102591616,0.5838350747356164,0.7630637476689671,1.103712313997917,-0.8446924806273648,,,108411.99186742757,1452.0
