slow,fast,leverage,CAGR,Sharpe,Sortino,Vol,MDD,MDD_Entry,Trades_Year,Total_Trades,Max_Recovery_Days
51,9,3,0.160685,0.506809,0.721828,0.363235,-0.868779,-0.839190,6.241583,601,3360
51,10,3,0.149036,0.479178,0.679896,0.363062,-0.863716,-0.815297,6.013105,579,3788
51,11,3,0.149006,0.479108,0.679808,0.363081,-0.898107,-0.878591,5.888481,567,3479
51,12,3,0.143000,0.464538,0.658334,0.363626,-0.898554,-0.880337,5.743087,553,3514
51,13,3,0.136620,0.448945,0.634857,0.364743,-0.916286,-0.901450,5.660004,545,3475
51,14,3,0.120974,0.410802,0.578874,0.366725,-0.941906,-0.932155,5.639233,543,4160
51,15,3,0.123855,0.418150,0.588126,0.365391,-0.939345,-0.917965,5.514610,531,5387
51,16,3,0.129659,0.432005,0.609887,0.364610,-0.912336,-0.902387,5.452298,525,4633
51,17,3,0.121747,0.413034,0.579970,0.364257,-0.935590,-0.921268,5.389986,519,5382
51,18,3,0.111766,0.388514,0.543956,0.365271,-0.953392,-0.945334,5.327674,513,4693
51,19,3,0.119065,0.406434,0.569691,0.365224,-0.947276,-0.937713,5.203050,501,4477
51,20,3,0.112891,0.391269,0.547669,0.366283,-0.942957,-0.934106,5.223820,503,4696
51,21,3,0.105291,0.372570,0.520696,0.366480,-0.953978,-0.949530,5.119967,493,6107
51,22,3,0.098063,0.354775,0.494997,0.368019,-0.975018,-0.972928,5.119967,493,6305
51,23,3,0.090771,0.336890,0.468920,0.369547,-0.975147,-0.973834,5.140738,495,6304
51,24,3,0.093203,0.342949,0.479285,0.372487,-0.956234,-0.952922,5.078426,489,6158
51,25,3,0.096577,0.351056,0.493465,0.375900,-0.947915,-0.947675,5.078426,489,6082
51,26,3,0.092143,0.340773,0.477169,0.378152,-0.963337,-0.959318,4.953802,477,6158
51,27,3,0.115476,0.396744,0.557359,0.376984,-0.960238,-0.957063,5.016114,483,5927
51,28,3,0.116536,0.399184,0.561155,0.377753,-0.950589,-0.940610,5.016114,483,5884
51,29,3,0.125885,0.421208,0.593088,0.378050,-0.934082,-0.908631,5.036884,485,5770
51,30,3,0.133126,0.438066,0.618121,0.378371,-0.889864,-0.873296,4.933031,475,3783
51,31,3,0.137236,0.447819,0.632131,0.377468,-0.891657,-0.866837,4.974572,479,4979
51,32,3,0.138453,0.450492,0.636673,0.377913,-0.886483,-0.860478,5.016114,483,4980
51,33,3,0.131620,0.434722,0.613174,0.377086,-0.907408,-0.891438,5.140738,495,5129
51,34,3,0.121591,0.411113,0.577690,0.378908,-0.953704,-0.945718,5.327674,513,5892
51,35,3,0.124379,0.417968,0.587136,0.376771,-0.942034,-0.932658,5.244591,505,5775
51,36,3,0.120530,0.408799,0.574153,0.377628,-0.925790,-0.913786,5.286132,509,5349
51,37,3,0.129907,0.430931,0.606644,0.376681,-0.896004,-0.879182,5.452298,525,4773
51,38,3,0.128227,0.427052,0.600104,0.376848,-0.879635,-0.857353,5.597692,539,5007
51,39,3,0.132741,0.437564,0.617602,0.375793,-0.891629,-0.873862,5.639233,543,4991
51,40,3,0.131393,0.434310,0.614385,0.375574,-0.881850,-0.867705,5.846940,563,4477
51,41,3,0.125798,0.421172,0.594844,0.375623,-0.876927,-0.853610,6.033876,581,4650
51,42,3,0.124316,0.417624,0.589324,0.376322,-0.914668,-0.899443,6.449289,621,5220
51,43,3,0.125174,0.419874,0.590221,0.376873,-0.903139,-0.893266,6.636225,639,4852
