s1_enter,s1_exit,gap,min_sortino,NDX 40yr_sortino,NDX 40yr_cagr,NDX 40yr_sharpe,NDX 40yr_mdd,QQQ 27yr_sortino,QQQ 27yr_cagr,QQQ 27yr_sharpe,QQQ 27yr_mdd,TQQQ 15yr_sortino,TQQQ 15yr_cagr,TQQQ 15yr_sharpe,TQQQ 15yr_mdd
130,115,5,0.9150322383774777,0.9150322383774777,0.22474397823806758,0.6476737360924374,-0.5794575795352055,1.1356272328824133,0.2719240148648381,0.8059704973005084,-0.5568717269199149,1.4741888167806434,0.3991443170381703,1.0398621197321163,-0.3344704381723905
130,115,10,0.9232879673400761,0.9232879673400761,0.22771559833286026,0.6532295249308442,-0.5794575795352062,1.1455655749677722,0.2758378061969524,0.8126390427483359,-0.5568717269199142,1.480867727593134,0.4039820501664577,1.0446574593622344,-0.34090453355336336
130,115,15,0.9239228833913166,0.9239228833913166,0.22872459547339763,0.6538349824693279,-0.5794575795352054,1.1536935940458295,0.2794302162590463,0.8183210013994772,-0.5568717269199148,1.4837801013092637,0.4070170448165109,1.0470839946705592,-0.3409045335533639
130,115,20,0.9224470842120813,0.9224470842120813,0.2288579682454004,0.6526613418836524,-0.5794575795352057,1.1407134567048711,0.276955226972156,0.8099702296488577,-0.5703705098939785,1.4796389462507158,0.40778905820996103,1.0437802047401925,-0.3409045335533636
130,120,5,0.9098367373635622,0.9098367373635622,0.2241597072846342,0.6446220380609101,-0.5815580784070541,1.1302202229013778,0.2722711118507921,0.8028942210353577,-0.5617241720164219,1.4709679904784798,0.40157761618716514,1.038577302780567,-0.33242799614318164
130,120,10,0.9192403634952196,0.9192403634952196,0.22747329931346072,0.6508640562862733,-0.5815580784070531,1.1333137896622114,0.2739939781675771,0.8050020177155759,-0.561724172016422,1.4678065556031374,0.4023865725973361,1.0369424194224737,-0.33720149383897113
130,120,15,0.9211735227142435,0.9211735227142435,0.22875954828705214,0.652360945531374,-0.5815580784070531,1.1417868304478471,0.2774939914668604,0.8109380003927177,-0.5617241720164221,1.4685516167071295,0.40437335047286216,1.0378124114401792,-0.3372014938389709
130,120,20,0.9235777825427265,0.9235777825427265,0.2299457504771727,0.6537197240143725,-0.5815580784070542,1.1352624943298188,0.276597851569391,0.8067334789112941,-0.5703705098939775,1.4654287172767904,0.4048695342468609,1.0354128614979548,-0.33720149383897124
130,125,5,0.9096182728155183,0.9096182728155183,0.22490719824111194,0.6444440825360763,-0.579984883016394,1.123073926081447,0.2714190839927417,0.7984036894692119,-0.5641511948819009,1.4606235489856794,0.4007137520454396,1.0322146002376584,-0.3382767187701474
130,125,10,0.9194295841075465,0.9194295841075465,0.2284005953488053,0.6509996020427727,-0.5799848830163945,1.132816038257719,0.27508548060364313,0.8048040672362784,-0.5641511948819002,1.4528747181835209,0.4000516151717468,1.0276556757673942,-0.33827671877014753
