trial,base_fast,base_slow,vol_lookback,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
16,44,236,53,0.5667781505807749,0.8245307061336928,0.8491007714796113,0.22271566293296186,0.5884616277177933,-0.9609119738422274,-0.6502835918406427,1.2285032672959237
17,37,125,108,0.19129994509107454,0.9718752332363103,1.0048095761467968,0.302207482691929,0.70131937660094,-0.7987010639536839,-0.5737052693439784,1.6467171455243232
18,36,132,120,0.22395223399628883,0.9463703387598633,0.9793046816703498,0.29102390950418555,0.6847945943115566,-0.7987010639536838,-0.5906064551334314,1.6467171455243232
19,37,121,120,0.5065264516004789,0.8823233620094908,0.9194398437022613,0.2617057981878965,0.6444833710656707,-0.8692506832158818,-0.570294833304015,1.855824084638523
20,35,137,106,0.23983648602882746,0.8797386065543218,0.9137184841603793,0.25967894484542753,0.6415665553162523,-0.8740688822088876,-0.5906064551334314,1.6989938803028732
21,35,188,107,0.160739353753061,0.8760129523637279,0.9026740871007883,0.25534688044196585,0.6353028174987301,-0.8393577172045215,-0.5899320929636518,1.3330567368530235
22,43,144,111,0.4596764606325248,0.9414549195997644,0.9702071237279668,0.28728584988860395,0.678878388197768,-0.8446924806273648,-0.5691357061743896,1.4376102064101235
23,34,133,111,0.45783864153361387,0.900159072371752,0.9310023458910964,0.26766111402152526,0.6526959947614102,-0.8431249382024564,-0.5906064551334309,1.5421636759672235
24,25,53,97,0.2007097578074892,0.5681265344140839,0.6575197508854043,0.1452917261096378,0.4700336610486721,-0.8807397669577608,-0.7267580190462327,4.46966082356602
25,28,111,112,0.7377544801335196,0.8030142958684457,0.8464039857346422,0.22640956202055995,0.5951429403002537,-0.83558412295168,-0.5085103695585258,2.1694844933098225
26,38,142,89,0.7312409595423777,0.9030745049148533,0.9339177784341978,0.26851270869736554,0.6518422350879907,-0.8520751774384628,-0.5955616764931163,1.5421636759672235
27,45,162,120,0.44866458696740785,0.9439575055789146,0.971664175011546,0.2867760575142797,0.6765853418790733,-0.8446924806273647,-0.5987209842254276,1.3853334716315735
28,46,158,119,0.17821302868440173,0.9189136783018669,0.9476658824300693,0.27663919957205385,0.6645177334004195,-0.8423398165736117,-0.5910560605264831,1.4376102064101235
29,28,228,101,1.0398854629128094,0.8008628928411393,0.8264784928826288,0.21208428376928112,0.5739504899269742,-0.9635715808842348,-0.5691357061743894,1.2807800020744737
30,21,80,93,1.3466934093088696,0.6973066150146292,0.7783355539213817,0.19388203305521623,0.5471117820969866,-0.8482190353519311,-0.6848093220809919,4.051446945337621
31,43,116,112,0.40895154313000387,0.9015502228122513,0.9386667045050218,0.27047824658812547,0.6565963901361694,-0.8414771503825129,-0.5317358302332083,1.855824084638523
32,50,154,107,0.6185560941011669,0.9206541578253385,0.945224223171257,0.274875635169497,0.6603279382334561,-0.9139060744484833,-0.5899320929636518,1.2285032672959237
33,41,100,114,0.8730931286656121,0.8805693381979484,0.9281411668464288,0.2646656302660979,0.6490117776771813,-0.801657169308402,-0.5616861565845243,2.3785914324240225
34,38,128,104,0.38333787552589843,0.9739437431427229,1.0047870166620674,0.3035709028781761,0.7012221054735587,-0.8091039757849903,-0.5737052693439781,1.5421636759672235
35,38,124,104,0.27861030331787573,0.9321697686969066,0.9651041116073931,0.28420407707351214,0.6753436098490347,-0.8639965485405747,-0.5702948333040148,1.6467171455243232
36,33,195,95,0.1469581174805163,0.8741039530585102,0.9018106224911416,0.25470370577777035,0.6343916195531515,-0.8400708940582655,-0.5899320929636519,1.3853334716315735
37,37,94,120,0.35832719588976075,0.8266182755878387,0.8741901042363192,0.23834300272954723,0.6127100648131997,-0.7987010639536838,-0.49215030519629466,2.3785914324240225
38,29,107,85,1.9949396569619466,0.7700507990102933,0.8500342032214747,0.2224579840140084,0.5865502972617471,-0.9609119738422273,-0.6492358650496162,3.999170210559071
39,32,172,102,0.6637967201150543,0.8483403617546323,0.8739559617961218,0.24098774005115065,0.6148131546228198,-0.9063199839995428,-0.5899320929636517,1.2807800020744737
40,15,79,115,0.8465879129686403,0.6640364877126588,0.7377466837504142,0.17797786412293637,0.5227668845409752,-0.9023326155192809,-0.7090752761084232,3.685509801887771
41,44,128,110,0.4574681903818695,0.9418791881577043,0.9737679963726198,0.28863300850880025,0.6808703360381704,-0.8612193754545158,-0.5702948333040146,1.5944404107457733
42,46,117,107,0.3486602015781975,0.8964312505769513,0.9314566628785798,0.2676552559653931,0.6526901526325203,-0.8564276591371438,-0.5446754657287207,1.7512706150814232
43,41,130,116,0.5223309593042604,0.9485615976268358,0.9794048711461802,0.29041867912702246,0.684286242996628,-0.8340829963294278,-0.5906064551334311,1.5421636759672235
44,39,157,116,0.5396021018289396,0.9236396746925922,0.9523918788207947,0.2788905009227607,0.6670078336007811,-0.8446924806273649,-0.5910560605264834,1.4376102064101235
45,35,280,28,0.1313435633361571,0.8571324780816122,0.8806570087319596,0.24297203111500498,0.6163299192066786,-0.9172643461578665,-0.6556996520704947,1.1762265325173737
46,41,333,116,0.3719392400119926,0.8446557086168199,0.8619070310937414,0.23224746794196727,0.6018760589753165,-0.9666221897327686,-0.5013588724207669,0.8625661238460741
