trial,fast_low,slow_low,fast_high,slow_high,vol_lookback,vol_threshold_pct,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
69,46,342,15,198,35,67.1146291811309,0.9046856398193093,0.9449387255987928,0.27752738635695917,0.6672800206404025,-0.8784602442423332,-0.5557740254735737,2.012654288974173
70,2,67,13,242,87,47.703343061970756,0.6282011565238615,0.7635978996003059,0.18934038356013128,0.5426351447893759,-0.8060366950392762,-0.8052009729477633,6.769837153822218
71,39,145,17,283,72,34.35677512335468,0.8647884262789904,0.8987683038850479,0.25449115775383535,0.6346529746407757,-0.8449565034102983,-0.6015357865586692,1.6989938803028732
72,48,187,8,334,80,37.306035864513774,0.8263192642143202,0.8602991418203777,0.23652572872953037,0.6092039166393634,-0.8449565034102982,-0.4468384886515764,1.6989938803028732
73,49,164,10,219,83,53.300970045798586,0.9149019042472244,0.9562005247222789,0.28136942835547685,0.6734737616863541,-0.7987010639536838,-0.4308327646514458,2.064931023752723
74,46,152,13,301,109,61.08083128235585,0.8494398527919536,0.886556334484724,0.24843750969011724,0.6266782288615574,-0.8449565034102983,-0.4544573815495011,1.855824084638523
75,43,207,21,229,94,30.410968470113627,0.8592286393531184,0.8879808434813209,0.24873615000570748,0.6268259839375036,-0.7987010639536839,-0.5699990704218457,1.4376102064101235
76,19,123,5,272,117,40.12323413407433,0.8469517116352065,0.910206560717252,0.2578574331854351,0.6401929947220362,-0.798701063953684,-0.5724953086075467,3.1627424541022715
77,33,341,7,81,104,45.162681431677406,0.7808822366100259,0.8619111755167783,0.23652600953500857,0.613728888961676,-0.9135581638899651,-0.8080677903790179,4.051446945337621
78,22,279,3,208,112,69.93240330647646,0.7877889111816673,0.8426794826991447,0.22880217845068151,0.5986045676355822,-0.9263790784888203,-0.6948906058851284,2.744528575873872
79,27,255,34,254,59,43.42796168783298,0.8849798383417848,0.9074588342965613,0.2575906483712225,0.6375287293081295,-0.8446924806273648,-0.5884338485964877,1.1239497977388238
80,10,324,46,290,65,49.271047002822215,0.8893384161168137,0.9170450855494452,0.26114144431062525,0.6405591096666117,-0.8446924806273648,-0.5590400415432657,1.3853334716315735
81,25,308,10,225,75,68.17720271049637,0.917831699190491,0.9559937155788325,0.28269151858526786,0.6733521739348606,-0.7987010639536839,-0.462670705805733,1.908100819417073
82,24,313,10,236,75,62.94813392715906,0.908051657608,0.9451681393007705,0.2771107465830307,0.6657893412822958,-0.7987010639536839,-0.4880931251965145,1.855824084638523
83,20,334,30,181,72,66.45276223369274,0.8540326456561004,0.8921946620444419,0.2503735438132846,0.6281089842663028,-0.8516370773498312,-0.5314232873780446,1.908100819417073
84,22,110,26,247,84,68.97284784688593,0.8973297875467711,0.9386284080218256,0.27224211515600194,0.660935652161969,-0.8136230716830005,-0.540097533292484,2.064931023752723
85,25,348,13,201,20,51.82589896360078,0.9058874950927123,0.9639146706969027,0.28658667388685033,0.679075895646839,-0.8311582500771326,-0.45612651613816513,2.901358780209522
86,18,301,11,262,48,57.955383431335996,0.8857172456314286,0.9280614008020541,0.26858940739294956,0.6540255069497876,-0.7987010639536838,-0.4797881256086347,2.117207758531273
87,47,319,15,224,78,68.72554086372485,0.9847395361602773,1.0176738790707638,0.3144028707957529,0.7154417723548709,-0.7987010639536839,-0.4245687043285805,1.6467171455243232
88,16,319,16,221,69,66.01000370175144,0.8704401490688284,0.9065110960660279,0.25770360625642064,0.6391269715490892,-0.7987010639536839,-0.5891471569000338,1.8035473498599732
89,42,327,15,227,78,68.4223542271997,0.9841193126497825,1.017053655560269,0.3134936465055218,0.714252566547083,-0.7987010639536838,-0.4553045182844784,1.6467171455243232
90,44,333,18,231,78,56.17194168662987,0.9295917903554283,0.9625261332659147,0.285099792723406,0.6766992511044134,-0.798701063953684,-0.5294512359148762,1.6467171455243232
91,42,330,18,240,78,52.47087665444764,0.9005669348075852,0.9303646736313587,0.26933997041440305,0.6551308669749022,-0.7987010639536839,-0.50216306993596,1.4898869411886735
92,44,350,15,230,82,50.82737974541084,0.9933987339112984,1.0263330768217849,0.3166153548133095,0.719513446069439,-0.7987010639536839,-0.40326704844931893,1.6467171455243232
93,44,338,15,214,81,64.75919840065309,0.9573587996257157,0.9902931425362022,0.3002804854110295,0.6966198210547874,-0.803158673405608,-0.3457881009221293,1.6467171455243232
94,44,337,15,213,81,56.259775425321884,0.9538377039592851,0.9919997203476266,0.2997970344330161,0.696784008862278,-0.7987010639536838,-0.3781196756576892,1.908100819417073
95,44,339,15,210,81,56.242843708897446,0.9388969760898233,0.9791500618693068,0.29344042875790266,0.6880976620334004,-0.7987010639536838,-0.4318649570632389,2.012654288974173
96,45,342,15,209,82,60.12976339143457,0.9410424052393411,0.9802499563232536,0.2943171182315667,0.6888855765154541,-0.7987010639536839,-0.49789301617265136,1.960377554195623
97,41,341,15,208,82,59.97244723247998,0.9190883202030578,0.9582958712869702,0.2833444099925635,0.6739941082255269,-0.8177897465178269,-0.5517146975113083,1.960377554195623
98,44,320,17,190,88,62.7284568455187,0.8505243113183629,0.8876407930111334,0.24977945814954206,0.6278367539180177,-0.9060530225050053,-0.6558494456561057,1.855824084638523
99,47,344,14,198,92,64.48006778218033,0.8679058077517611,0.9039767547489606,0.259903255560924,0.6426216548874424,-0.9215990152913354,-0.6269156610802527,1.8035473498599732
100,45,338,15,171,87,57.6912461117026,0.7165096047437627,0.7651269680878141,0.19181265162778005,0.5457327062077006,-0.955395260414837,-0.7843157157628606,2.4308681672025725
101,49,326,20,214,80,60.55696132007656,0.9318447528428943,0.9658246304489517,0.28800665034457484,0.6802895066457106,-0.7987010639536839,-0.45704748882923496,1.6989938803028732
102,46,350,12,218,84,54.40761356450955,0.939056064368239,0.9740814766698674,0.2909585616583208,0.6852086383199161,-0.8078512352715712,-0.4963471033366307,1.7512706150814232
103,48,345,16,204,86,56.7361554679787,0.865089665114497,0.9053427508939805,0.2575043435121285,0.6386871832932187,-0.8464656568079911,-0.5162451809541384,2.012654288974173
104,43,350,12,186,85,54.22179118594879,0.7756702184687353,0.8221965124216447,0.21948853431041693,0.5861921683948669,-0.9327188147808143,-0.6789119358147956,2.3263146976454725
105,45,337,14,196,82,57.970864239138365,0.850709862717806,0.8972361566707154,0.2554368226635473,0.636900812408764,-0.9317045810672765,-0.6750047041061416,2.3263146976454725
106,42,314,19,222,89,55.45543852879557,0.9097561470300886,0.939553885853862,0.2738626007629805,0.6613916805133573,-0.798701063953684,-0.5459607978739469,1.4898869411886735
107,50,323,17,214,73,50.26618895181543,0.9619795377527921,0.9949138806632786,0.3019704856987264,0.6996887951104636,-0.7987010639536839,-0.43036125137911285,1.6467171455243232
108,50,299,12,231,73,50.51907732545606,0.9552471710094887,0.9871359792244042,0.29725029463003905,0.6936970214585989,-0.7987010639536838,-0.39390626384782257,1.5944404107457733
109,50,300,17,231,67,50.269966578732465,0.9359865617851479,0.9678753700000634,0.2881454680253941,0.6809369141370624,-0.7987010639536839,-0.5366898501391046,1.5944404107457733
110,49,293,13,229,71,48.94650864984441,0.9503433743979665,0.9801411132217399,0.29328373061252466,0.6885415374093072,-0.7987010639536839,-0.45076684717061455,1.4898869411886735
111,49,285,13,226,73,48.7095890622114,0.9307431448248171,0.9594953489530196,0.28311853348128047,0.674685317163853,-0.7987010639536839,-0.46286836092925,1.4376102064101235
112,48,321,14,214,71,46.341788719937725,0.9639249716046083,0.9979048492106658,0.3028401570174417,0.701158550726314,-0.7987010639536839,-0.39780903619750274,1.6989938803028732
113,48,324,14,234,71,47.73029326676222,0.986691668391911,1.0164894072156845,0.3122983425696835,0.7137149301994989,-0.7987010639536839,-0.3547994488414591,1.4898869411886735
114,50,311,18,238,71,46.83577724610589,0.890778509156566,0.9216217826759104,0.2653591968104638,0.6496678810901122,-0.7998155811973499,-0.5510651329238274,1.5421636759672235
115,47,298,14,231,64,47.822346919591595,1.0047930171053365,1.0366818253202519,0.3220469771208303,0.7270240480815573,-0.7987010639536839,-0.39090041244473794,1.5944404107457733
116,48,297,16,215,62,45.998197039376706,0.9679192678134545,1.002944680115083,0.30572339429598405,0.7049772193888413,-0.8063140864662544,-0.49628289461059927,1.7512706150814232
117,47,277,16,215,56,47.56697626508306,0.9532194563903049,0.9851082646052204,0.29628485737602883,0.6925012048071537,-0.8063140864662544,-0.5472892514090132,1.5944404107457733
118,48,304,22,204,64,45.95533362551951,0.9446718340591267,0.9786517116651842,0.29371852287632527,0.6884149385906891,-0.7987010639536838,-0.4296536787421239,1.6989938803028732
119,48,318,14,257,62,43.957986042345176,0.9597118572469769,0.9978738736353184,0.30333220889923473,0.7011506200296775,-0.7987010639536839,-0.41693567828196465,1.908100819417073
120,47,298,17,256,67,42.339916161756406,0.8810466103623957,0.9118898838817402,0.2607469781822236,0.6431983754016543,-0.8527468344906687,-0.5787469466185526,1.5421636759672235
121,48,320,14,234,67,44.26499661062348,0.9741234017160817,1.0101943487132812,0.3090453454561526,0.7093444589980723,-0.7987010639536838,-0.38519337255550856,1.8035473498599732
122,48,289,14,247,61,45.55973292799698,0.9354067989204871,0.9714777459176865,0.28933718053580204,0.6827934516859204,-0.7987010639536839,-0.45442084144702055,1.8035473498599732
123,50,317,11,234,63,43.86304905390935,0.9656846066032577,1.0038466229915992,0.3054386394761013,0.7049210815046865,-0.7987010639536838,-0.43529812721875527,1.908100819417073
124,47,319,16,236,62,43.94140002488149,0.948492313949871,0.9856087956426415,0.296741704341551,0.6926099582477879,-0.7987010639536839,-0.4937695404886868,1.855824084638523
125,49,324,11,243,57,42.59513443549843,0.9412569797917265,0.980464530875639,0.2937548730251438,0.6889865961617893,-0.7987010639536839,-0.4531583476382466,1.960377554195623
126,46,316,20,222,66,41.601006746496886,0.9025020952949984,0.9333453688143428,0.2711550097382518,0.6578283869624737,-0.7987010639536839,-0.4829489761665263,1.5421636759672235
127,48,310,14,251,52,44.70331636504793,0.922055138994629,0.9612626900785415,0.2843533126136324,0.675791499792029,-0.7987010639536839,-0.4454601244735452,1.960377554195623
128,50,327,19,232,68,43.59960113731081,0.864197564160422,0.8981774417664795,0.25397578366329965,0.6338880334249865,-0.8102659220709602,-0.5143596276859432,1.6989938803028732
129,45,307,16,258,63,46.82048942024225,0.9121447744050019,0.9429880479243463,0.27643044153728424,0.6647766719557284,-0.8114643332487086,-0.5263850297188586,1.5421636759672235
130,48,323,14,222,60,40.67594917763512,0.9409815025013837,0.9760069148030122,0.29142883911491313,0.6858580356215,-0.798701063953684,-0.4508382853605394,1.7512706150814232
131,50,316,12,234,74,47.988733959272224,0.9434450883594799,0.9774249659655374,0.2922296214140201,0.6868468233491708,-0.7987010639536839,-0.42218258653979523,1.6989938803028732
132,49,330,12,243,54,44.122993231111536,0.9337282087323007,0.9760723639029262,0.29179733294115473,0.6863206464543701,-0.798701063953684,-0.38157605312889176,2.117207758531273
133,47,305,13,229,69,46.24286267139732,0.956078326906233,0.9858760657300064,0.2961977492663139,0.6923793607510131,-0.7987010639536839,-0.4700406681813637,1.4898869411886735
134,46,310,13,216,69,45.70686085800347,0.9540719368921399,0.9870062798026263,0.2972567011666305,0.6937132119360969,-0.7987010639536838,-0.43168918891028496,1.6467171455243232
135,47,304,18,239,64,46.35791936036523,0.9065148011567665,0.938403609371682,0.27357009202990734,0.660997893271071,-0.7987010639536839,-0.4935365372751811,1.5944404107457733
136,47,319,15,226,59,38.86254261491104,0.9512149564785514,0.9831037646934668,0.29508412861009936,0.6908448235550084,-0.7987010639536839,-0.4561688610984441,1.5944404107457733
137,45,291,11,250,47,49.4727290600736,0.955843427137632,0.9940054435259735,0.30076660353105567,0.6982361533343413,-0.7987010639536838,-0.4351174382801989,1.908100819417073
138,48,327,17,218,77,68.87992846930015,0.9477693232687098,0.9827947355703383,0.29686860746360777,0.6920060636239054,-0.8142773255593264,-0.5291038426634012,1.7512706150814232
139,43,333,14,209,66,45.03458790594181,0.9386261135788898,0.9778336646628023,0.292827156984077,0.6876216747069681,-0.7987010639536838,-0.4395983106365893,1.960377554195623
140,46,284,16,229,70,47.212675782491374,0.9393717011645748,0.9691694399883483,0.28821271580113583,0.6812377858845883,-0.7987010639536839,-0.5279318169473476,1.4898869411886735
141,45,293,9,266,46,48.40408242944618,0.9231941639018469,0.9686749231591854,0.288271814922455,0.6811189473583688,-0.7987010639536838,-0.40773856788348417,2.2740379628669225
142,49,311,11,247,52,49.71807571546694,0.9526964591569124,0.9908584755452539,0.29953139801397755,0.6964661464558979,-0.7987010639536838,-0.38889091495205164,1.908100819417073
143,47,263,10,239,48,44.55507364031731,0.9585370943790953,0.9925169719851528,0.2994082076310438,0.6971217695631616,-0.798701063953684,-0.4507513883667098,1.6989938803028732
144,48,253,13,238,75,42.969181861746165,0.9043405590386785,0.940411506035878,0.27352514088650604,0.6615292114428536,-0.7987010639536838,-0.4803839075068983,1.8035473498599732
145,46,261,15,222,40,44.350887125991335,0.9450652925415345,0.984272843625447,0.2950565556183855,0.6912326282963082,-0.7987010639536838,-0.4501361526594131,1.960377554195623
146,47,324,13,235,50,67.92712073980199,0.9299100409093249,0.9659809879065244,0.2873839791443671,0.6797946691328125,-0.7987010639536838,-0.43298383138990704,1.8035473498599732
147,49,228,10,202,61,45.1270180209525,0.7841412541134236,0.834849686848617,0.2242781736756152,0.5928835190515496,-0.9151046825925188,-0.6784081766063126,2.5354216367596725
148,44,317,14,213,43,45.98098116276389,0.9050710319386347,0.9442785830225472,0.27558711995802176,0.6640967076806972,-0.7987010639536839,-0.5264240162254921,1.960377554195623
149,50,305,16,226,54,47.435503167882814,0.9598409783812696,0.992775321291756,0.30035678951279654,0.6976311528710055,-0.7987010639536838,-0.4881910172521512,1.6467171455243232
150,50,331,17,255,55,41.73935563550245,0.8706703660199664,0.9056957783215949,0.2577706661932997,0.6391741031764487,-0.814862429385535,-0.4662562962921518,1.7512706150814232
151,50,303,15,228,63,47.538731370757375,0.9915766515860376,1.022419925105382,0.31515072725665205,0.7176107945359176,-0.7987010639536839,-0.4279006210569051,1.5421636759672235
152,50,299,15,224,58,48.09697815915056,0.9683438543316194,1.0012781972421059,0.30463661138772835,0.7037132548334125,-0.7987010639536838,-0.392178778215967,1.6467171455243232
153,50,242,16,244,57,47.32178763755328,0.8799853640461357,0.9139652416521932,0.26093199754178276,0.6438936151333849,-0.8311684586688021,-0.5839097276204565,1.6989938803028732
154,49,278,18,223,62,48.15048631965859,0.8912649981274664,0.9231538063423819,0.26569135362233887,0.6504838784796427,-0.7987010639536839,-0.5747931644261296,1.5944404107457733
155,50,298,15,235,58,47.196920352607435,0.9633300357833277,0.9962643786938141,0.30191243303435744,0.6998254254459831,-0.7987010639536839,-0.42424928745918866,1.6467171455243232
156,50,299,15,226,54,48.73327276297475,0.9751122369857266,1.008046579896213,0.30784374357849176,0.7080064183357875,-0.7987010639536839,-0.45820186878707037,1.6467171455243232
