slow,fast,leverage,CAGR,Sharpe,Sortino,Vol,MDD,MDD_Entry,Trades_Year,Total_Trades,Max_Recovery_Days
51,18,3,0.170836,0.507445,0.709441,0.509481,-0.920662,-0.718999,4.945074,199,4976
51,19,3,0.177630,0.518782,0.725808,0.510010,-0.938297,-0.787360,4.895375,197,4982
51,20,3,0.186635,0.533255,0.749447,0.512983,-0.938336,-0.807956,4.895375,197,4996
51,21,3,0.156999,0.484306,0.677475,0.515412,-0.944056,-0.825769,4.845676,195,5239
51,22,3,0.144146,0.462682,0.645891,0.515231,-0.965554,-0.892722,4.895375,197,6479
51,23,3,0.164716,0.497131,0.695828,0.513937,-0.944870,-0.834351,4.845676,195,6479
51,24,3,0.175172,0.514802,0.720362,0.516327,-0.906916,-0.720308,4.696578,189,6479
51,25,3,0.188080,0.536055,0.750517,0.516303,-0.919693,-0.767270,4.746277,191,5229
51,26,3,0.172631,0.511127,0.713332,0.518812,-0.888349,-0.720831,4.895375,197,4795
51,27,3,0.175555,0.515874,0.720968,0.519042,-0.891276,-0.717896,4.771127,192,4996
51,28,3,0.206835,0.566373,0.794371,0.519534,-0.849684,-0.709314,4.820826,194,3439
51,29,3,0.219755,0.586897,0.824871,0.518762,-0.842890,-0.737918,4.920225,198,2710
51,30,3,0.212250,0.574322,0.809873,0.521632,-0.817304,-0.774660,4.870526,196,2733
51,31,3,0.183603,0.528644,0.741947,0.523584,-0.903607,-0.765744,5.019623,202,4774
51,32,3,0.200841,0.556321,0.781998,0.521985,-0.917192,-0.724234,5.119022,206,4575
51,33,3,0.194587,0.546255,0.767395,0.524010,-0.936729,-0.806426,5.069323,204,4968
51,34,3,0.192738,0.543402,0.762466,0.522574,-0.946963,-0.812542,5.069323,204,4983
51,35,3,0.197043,0.550079,0.773620,0.523509,-0.936648,-0.846828,5.218420,210,4796
51,36,3,0.180720,0.524939,0.734064,0.528880,-0.951131,-0.863256,5.417217,218,6434
51,37,3,0.175055,0.515773,0.721900,0.529347,-0.931250,-0.789326,5.466916,220,4965
51,38,3,0.180969,0.525142,0.736744,0.529653,-0.901778,-0.781205,5.466916,220,4459
51,39,3,0.202278,0.558368,0.788098,0.533157,-0.877312,-0.723710,5.814811,234,4322
51,40,3,0.173030,0.512517,0.718789,0.534663,-0.954470,-0.876305,5.814811,234,6479
51,41,3,0.193604,0.544915,0.766585,0.535278,-0.921618,-0.821320,6.311804,254,4976
51,42,3,0.217097,0.581249,0.820079,0.535045,-0.926020,-0.847185,6.460901,260,4936
51,43,3,0.235711,0.610510,0.862276,0.528414,-0.951426,-0.898253,6.485751,261,4964
51,44,3,0.224676,0.593264,0.835828,0.532030,-0.949505,-0.881047,6.585149,265,4972
51,45,3,0.238728,0.614293,0.868357,0.533987,-0.935495,-0.839039,7.330638,295,4482
51,46,3,0.235495,0.609081,0.860475,0.537252,-0.943682,-0.851415,8.026427,323,4297
51,47,3,0.225759,0.593685,0.841187,0.539920,-0.949592,-0.879396,9.070111,365,4294
51,48,3,0.176330,0.519987,0.726687,0.542006,-0.949536,-0.875351,10.064096,405,4994
51,49,3,0.129801,0.445735,0.620303,0.543067,-0.973962,-0.930324,12.549058,505,6479
51,50,3,0.083872,0.370455,0.513467,0.545970,-0.977367,-0.945964,16.823193,677,6479
52,2,3,0.207601,0.569796,0.802310,0.491100,-0.952261,-0.900898,11.555073,465,6019
52,3,3,0.217116,0.585732,0.828043,0.489964,-0.911333,-0.864467,9.765901,393,5004
52,4,3,0.219753,0.589968,0.834985,0.490386,-0.906943,-0.843657,8.573119,345,5099
52,5,3,0.208753,0.571306,0.807380,0.491673,-0.876120,-0.812890,8.076127,325,4994
52,6,3,0.218565,0.587487,0.829381,0.493745,-0.866936,-0.799018,7.280939,293,4433
52,7,3,0.230042,0.605620,0.856436,0.497617,-0.883267,-0.822872,6.933044,279,4459
52,8,3,0.214982,0.580898,0.818894,0.498388,-0.909725,-0.859266,6.783946,273,4482
52,9,3,0.167149,0.501014,0.699528,0.502481,-0.914733,-0.867074,6.684548,269,5109
52,10,3,0.152562,0.476133,0.663809,0.504663,-0.939436,-0.879673,6.187555,249,6093
52,11,3,0.173715,0.511718,0.717334,0.503552,-0.954421,-0.885114,5.939059,239,5133
52,12,3,0.171603,0.508101,0.712701,0.505918,-0.935036,-0.856567,5.839661,235,5121
52,13,3,0.151799,0.474804,0.663007,0.508058,-0.933380,-0.848278,5.690563,229,5139
52,14,3,0.162210,0.492384,0.688877,0.507664,-0.911811,-0.784912,5.541465,223,4998
52,15,3,0.187672,0.534906,0.751421,0.508977,-0.901926,-0.779671,5.243270,211,4486
52,16,3,0.176912,0.517644,0.723607,0.511981,-0.939301,-0.807333,4.895375,197,4976
52,17,3,0.170015,0.506098,0.707644,0.511718,-0.928379,-0.746331,4.845676,195,4972
52,18,3,0.159700,0.488700,0.682839,0.509996,-0.926819,-0.747804,4.795977,193,4979
52,19,3,0.185934,0.532109,0.748084,0.511908,-0.929959,-0.814362,4.895375,197,4796
52,20,3,0.176655,0.516735,0.726245,0.512556,-0.922939,-0.760001,4.746277,191,5120
52,21,3,0.159736,0.488735,0.684651,0.515011,-0.938386,-0.808112,4.696578,189,6479
52,22,3,0.156465,0.483375,0.676336,0.515221,-0.941442,-0.824050,4.646879,187,6479
52,23,3,0.173557,0.511614,0.718668,0.513261,-0.895046,-0.737978,4.696578,189,5136
52,24,3,0.173972,0.512779,0.717952,0.516732,-0.898020,-0.735395,4.696578,189,6479
52,25,3,0.178793,0.521136,0.728659,0.517924,-0.851468,-0.673791,4.597180,185,4477
52,26,3,0.166309,0.500725,0.698687,0.519477,-0.880877,-0.738379,4.646879,187,4486
52,27,3,0.184437,0.530347,0.742142,0.518662,-0.832907,-0.703090,4.696578,189,3628
52,28,3,0.220834,0.587930,0.828724,0.521596,-0.821335,-0.725359,4.721428,190,2711
52,29,3,0.220312,0.586886,0.828870,0.522374,-0.810018,-0.761986,4.721428,190,2407
52,30,3,0.212882,0.575255,0.811132,0.522399,-0.814761,-0.741998,4.870526,196,3619
52,31,3,0.206107,0.564607,0.794728,0.522232,-0.871599,-0.760391,4.771127,192,4470
52,32,3,0.191256,0.540995,0.759162,0.522984,-0.928629,-0.754640,4.920225,198,4994
52,33,3,0.196784,0.549833,0.772530,0.522326,-0.924275,-0.768325,4.920225,198,4795
52,34,3,0.207547,0.566778,0.798470,0.522394,-0.913589,-0.769129,4.969924,200,4473
52,35,3,0.209196,0.569349,0.802067,0.523093,-0.925811,-0.820625,5.119022,206,4541
