base_enter,spread,s4_gap,base_exit,exit_decay,min_sortino,NDX 40yr_sortino,NDX 40yr_cagr,NDX 40yr_sharpe,NDX 40yr_mdd,QQQ 27yr_sortino,QQQ 27yr_cagr,QQQ 27yr_sharpe,QQQ 27yr_mdd,TQQQ 15yr_sortino,TQQQ 15yr_cagr,TQQQ 15yr_sharpe,TQQQ 15yr_mdd
130,2,0,115,3,0.8922855837582404,0.8922855837582404,0.15897727405752637,0.61520015736539,-0.49173558147624263,1.2112632692631489,0.2029394734077894,0.8297320712612012,-0.39400722449530245,1.6804465236864816,0.29462084120605514,1.127699097726156,-0.2934145311415416
130,2,0,115,4,0.8937989078211742,0.8937989078211742,0.1593874264531554,0.6162376669470322,-0.4917355814762424,1.2134849342371705,0.20335586318235532,0.8309995513669984,-0.3940072244953027,1.6804465236864816,0.29462084120605514,1.127699097726156,-0.2934145311415416
130,2,0,115,5,0.8452778658111411,0.8452778658111411,0.15146881205567064,0.5866361042616729,-0.4917355814762424,1.1864479176063578,0.19936946637538422,0.8147914239480605,-0.3940072244953031,1.6804465236864816,0.29462084120605514,1.127699097726156,-0.2934145311415416
130,2,0,115,6,0.8456320866831444,0.8456320866831444,0.1515312871579113,0.5867567722805274,-0.4917355814762424,1.1879615540487618,0.1997627760424625,0.8157612378362702,-0.3940072244953019,1.6779876148212007,0.29423652784302456,1.1262968639551678,-0.2934145311415416
130,2,0,115,7,0.8237901351381082,0.8237901351381082,0.14768246222530101,0.5725009731252297,-0.4917355814762424,1.1788296529075697,0.19822542823817924,0.8096266071630329,-0.39400722449530245,1.6779876148212007,0.29423652784302456,1.1262968639551678,-0.2934145311415416
130,2,0,115,8,0.8081123388987064,0.8081123388987064,0.1449630837321758,0.5620595174148232,-0.4917355814762424,1.1866167613173408,0.19971777439585447,0.8145649778460038,-0.3940072244953028,1.6779876148212007,0.29423652784302456,1.1262968639551678,-0.2934145311415416
130,2,0,120,3,0.8573272265931479,0.8573272265931479,0.16043355759787414,0.5956328079676848,-0.4917355814762423,1.1908339147428098,0.20910328305393833,0.8184055104733582,-0.39400722449530357,1.5672424568454846,0.2975726409240178,1.0683623785095897,-0.29341453114154137
130,2,0,120,4,0.8383644737397681,0.8383644737397681,0.15697765986000656,0.5834641488792738,-0.49173558147624263,1.187968898772225,0.20864194889036858,0.8165968033191178,-0.39400722449530257,1.5672424568454846,0.2975726409240178,1.0683623785095897,-0.29341453114154137
130,2,0,120,5,0.8231823493734731,0.8231823493734731,0.15421905313504514,0.5734482853371609,-0.4917355814762423,1.177857293971263,0.20702546723650772,0.8101552844054082,-0.3940072244953031,1.5416537512077417,0.29244705944905447,1.0523908896972496,-0.29341453114154126
130,2,0,120,6,0.802441289563767,0.802441289563767,0.1504582272592352,0.5599916816672988,-0.4917355814762425,1.1750169815823504,0.2068180784296767,0.808414868708116,-0.3940072244953018,1.5206179433603932,0.28808618577541845,1.0387517538610282,-0.29341453114154126
130,2,0,125,3,0.8970399713443187,0.8970399713443187,0.175015110252692,0.6236708744973147,-0.4917355814762424,1.3588489375133075,0.2590394306579229,0.9268048179460909,-0.4195953092465394,1.7695597952786557,0.37593154558149977,1.1967975346384856,-0.2934145311415415
130,2,0,125,4,0.8880444536525122,0.8880444536525122,0.17348576373411673,0.6180516178902735,-0.4917355814762425,1.3483579515730926,0.25725650980382997,0.919894093622175,-0.4195953092465404,1.7564201286105428,0.3728208281036336,1.1884098480008916,-0.2934145311415415
130,2,2,115,3,0.868150978836876,0.868150978836876,0.1576046111004954,0.6009483079899496,-0.49173558147624186,1.2328572404516684,0.20900501065019594,0.8444338919313649,-0.39400722449530245,1.600543434825518,0.28860348196345065,1.0843129345232947,-0.2934145311415415
130,2,2,115,4,0.8649483298450843,0.8649483298450843,0.15719565861357876,0.5991115990370716,-0.4917355814762425,1.236763287262787,0.20971960073095275,0.846186147850853,-0.3940072244953031,1.643059609308119,0.2980593701412335,1.1116071813098833,-0.2934145311415415
130,2,2,115,5,0.800488162430881,0.800488162430881,0.14599493619801907,0.5583588993534063,-0.4917355814762425,1.1823700196939282,0.20076185639829447,0.8124531430820358,-0.41947051937963886,1.6349306416449363,0.29721732747524254,1.1073792281954178,-0.2934145311415415
130,2,2,115,6,0.7927569892804335,0.7927569892804335,0.14455229683614745,0.5530315466399359,-0.4917355814762424,1.186325542313261,0.20161574551741301,0.8148770121438443,-0.4194705193796381,1.634372995359263,0.29719445461028093,1.1067503423840577,-0.2934145311415415
130,2,2,115,7,0.780661961792607,0.780661961792607,0.1424555332522912,0.545272501916199,-0.49173558147624263,1.1729828850485287,0.1992695789960861,0.8059224471281953,-0.42901726420178055,1.638294888166251,0.2980554078139357,1.1091471687688061,-0.2934145311415415
130,2,2,115,8,0.777195487096484,0.777195487096484,0.14192453851686704,0.5427763614123468,-0.4917355814762424,1.1752723718612395,0.2000419836504541,0.8075438443952402,-0.42901726420178077,1.6057781672531668,0.29191354326491115,1.090184327589797,-0.2934145311415415
130,2,2,120,3,0.8295142653399535,0.8295142653399535,0.15737882492457556,0.5782804377158738,-0.4917355814762425,1.1908843967293774,0.2112188830634214,0.8182424007477919,-0.4236170821038987,1.574992975163726,0.3078114233275593,1.0769174996959465,-0.29341453114154126
130,2,2,120,4,0.8109473303588403,0.8109473303588403,0.15396986337569896,0.5663674903241022,-0.4917355814762423,1.1880639781967028,0.21075674169125813,0.8164609895580957,-0.4236170821038998,1.5740238786329104,0.3075805882159157,1.0762556798437455,-0.29341453114154126
130,2,2,120,5,0.8064352244080327,0.8064352244080327,0.15324963039411066,0.5632859722065383,-0.49173558147624274,1.1558051449681122,0.20501995380296645,0.7961790529334432,-0.4369607736225166,1.559312373243287,0.30502704065587793,1.0677256163884326,-0.2934145311415415
130,2,2,120,6,0.7845186111479825,0.7845186111479825,0.1491298835611663,0.5489094894273557,-0.4917355814762423,1.1721079698630128,0.20867833451798834,0.8066591224539731,-0.43696077362251606,1.4947963332495275,0.2909463348749908,1.0268014039289095,-0.2934145311415415
130,2,2,125,3,0.8723914861314761,0.8723914861314761,0.17058476093996733,0.6077346211009823,-0.4917355814762421,1.371474650330483,0.2640614667118062,0.9346539234734826,-0.4649708763736953,1.7647415282665573,0.380259685687659,1.1978999019060925,-0.29341453114154104
130,2,2,125,4,0.8732900014025665,0.8732900014025665,0.17117988453892652,0.6087286140716098,-0.4917355814762424,1.3404785097115093,0.258628150140914,0.9156383031657407,-0.4408387725619892,1.7791396893798779,0.38457722691913077,1.2071277888957017,-0.29341453114154104
130,2,4,115,3,0.87169457158506,0.87169457158506,0.15829091810467677,0.6033976512629916,-0.4917355814762425,1.226959834427861,0.2151520051354936,0.8423104497405716,-0.39400722449530245,1.58457864835156,0.3022446941746093,1.078042556522206,-0.29341453114154137
130,2,4,115,4,0.8684858838310012,0.8684858838310012,0.15788172316282045,0.6015583281491624,-0.4917355814762422,1.203203632895851,0.21050463712046974,0.8264613591673061,-0.3940072244953031,1.624667318876475,0.3118006827937483,1.1039777491826968,-0.29341453114154137
130,2,4,115,5,0.8039937617316519,0.8039937617316519,0.14667436019471602,0.5608005909745851,-0.4917355814762425,1.1690147511617226,0.2050390442954635,0.8056969045085828,-0.41947051937963886,1.6428952937300036,0.31763793837402554,1.1168282550328523,-0.29341453114154137
130,2,4,115,6,0.7962606881100525,0.7962606881100525,0.14523086553779052,0.5554722104443649,-0.4917355814762424,1.1670543395514696,0.20481011783230385,0.8042319750145961,-0.4194705193796381,1.63313614630046,0.31566458550313614,1.1102981898232767,-0.29341453114154137
130,2,4,115,7,0.7841588477522208,0.7841588477522208,0.1431328588494063,0.5477114662756044,-0.49173558147624286,1.1580977840409388,0.20325138312139557,0.7981863512127936,-0.42901726420178055,1.6330061849321145,0.3156716145409042,1.110036941900653,-0.29341453114154137
130,2,4,115,8,0.7806869801136378,0.7806869801136378,0.14260171772198205,0.5452120054961042,-0.4917355814762422,1.1595890425165258,0.2038791293616018,0.7992923040567294,-0.42901726420178077,1.6271102985360901,0.3151968930742548,1.1081294880790635,-0.29341453114154137
130,2,4,120,3,0.8336687453787079,0.8336687453787079,0.15824333904652077,0.5811719544340584,-0.49173558147624197,1.1809306809810869,0.2141079183144794,0.8127461312351958,-0.4236170821038987,1.6048803870756447,0.3274559349336119,1.097849668856334,-0.29341453114154115
130,2,4,120,4,0.8150876164674887,0.8150876164674887,0.15483184029478414,0.5692543409571362,-0.4917355814762423,1.1779055698062686,0.21358228192560658,0.8107362021237684,-0.4236170821038998,1.594085207568988,0.3249880702981629,1.0908175255685295,-0.29341453114154115
130,2,4,120,5,0.8105667199563525,0.8105667199563525,0.15411123943763005,0.5661677723848365,-0.4917355814762425,1.152394448500939,0.20905641934522978,0.7948773922647756,-0.4369607736225166,1.5942741458542584,0.32599329667290866,1.0917722508934575,-0.29341453114154137
130,2,4,120,6,0.7886348089748216,0.7886348089748216,0.14998841468379642,0.5517855284586374,-0.49173558147624263,1.1725331085286206,0.21353711045955248,0.8078480844697031,-0.43696077362251606,1.5508882689424999,0.31602602382634837,1.0643072620295184,-0.29341453114154137
130,2,4,125,3,0.890540006072467,0.890540006072467,0.17458807766427875,0.6200799412682206,-0.4917355814762424,1.3594912854553844,0.26282327025756635,0.9263215999569827,-0.4649708763736953,1.7790157496589216,0.38825264390243897,1.205601551258773,-0.2934145311415417
130,2,4,125,4,0.8922483767957202,0.8922483767957202,0.17537639196047405,0.6216399895378363,-0.4917355814762422,1.3334139354374586,0.25833112100971056,0.9103501088102409,-0.4408387725619892,1.8060316177389328,0.39581468827426325,1.2227258930159466,-0.2934145311415417
130,2,6,115,3,0.8795341104565436,0.8795341104565436,0.16169677422407536,0.6095584486520226,-0.4917355814762421,1.2276955627488666,0.21961035542986518,0.8445191638282978,-0.3940072244953021,1.6177175684216403,0.3133778257245814,1.1001930359942085,-0.2934145311415416
130,2,6,115,4,0.8752604804738395,0.8752604804738395,0.16116077019917174,0.6070036555162402,-0.4917355814762423,1.1983873036310606,0.2139801420819809,0.8250038538930219,-0.39400722449530157,1.685147779944015,0.32966475204898105,1.142978134635923,-0.2934145311415416
130,2,6,115,5,0.8199352331628715,0.8199352331628715,0.15150557144149546,0.5722413605739158,-0.49173558147624274,1.1460511543990868,0.20484269646794484,0.7929380678319415,-0.4189333998863902,1.6979726985183488,0.3344499987483338,1.152289633509675,-0.2934145311415416
130,2,6,115,6,0.8109294546610604,0.8109294546610604,0.14980899458609587,0.5659230222219658,-0.49173558147624263,1.1441963675601647,0.20461380730582857,0.7915412204767092,-0.41893339988639,1.6856539135209234,0.3321453210877974,1.1445263236183525,-0.2934145311415416
130,2,6,115,7,0.8015937487041654,0.8015937487041654,0.14808607088005776,0.5597048554550861,-0.49173558147624263,1.1210737558274557,0.20029230491452266,0.7761598369030471,-0.42848897758078597,1.6855203379490458,0.3321524381751455,1.1442629894546184,-0.2934145311415416
130,2,6,115,8,0.7951191110525424,0.7951191110525424,0.14722665390435208,0.5556104136282526,-0.4917355814762421,1.1389437202456094,0.20429348132043268,0.7881560373780485,-0.4284889775807855,1.6545531833774625,0.32643667981245184,1.1263550220973528,-0.2934145311415416
130,2,6,120,3,0.807644061610814,0.807644061610814,0.15455464983728207,0.564822110109318,-0.49173558147624263,1.1580574038477396,0.21381108545769,0.8001464526593511,-0.42308379910775107,1.6538363999712524,0.343900134392082,1.1301550180845523,-0.2934145311415415
130,2,6,120,4,0.7893972116758773,0.7893972116758773,0.15096066639528716,0.5526265225954863,-0.4917355814762424,1.154822190525854,0.21322074101831556,0.7979827690269705,-0.42308379910775273,1.6431541129299554,0.34140169845310897,1.123208923855584,-0.2934145311415415
130,2,6,120,5,0.7918154501638479,0.7918154501638479,0.15172989621790878,0.5543226789580062,-0.4917355814762424,1.119664451010159,0.20662855317603923,0.7756773887597385,-0.43643983652277174,1.6095300262900525,0.3344765199027766,1.1024800318622892,-0.29341453114154137
130,2,6,120,6,0.7546879979618919,0.7546879979618919,0.1446114634456248,0.5298645148655514,-0.4917355814762423,1.154385910807968,0.2143665875366243,0.7984783110750745,-0.43643983652277185,1.582655399681939,0.3285043205325371,1.0857173893952672,-0.29341453114154137
130,2,6,125,3,0.867314829038158,0.867314829038158,0.17140840571998095,0.6053685267894658,-0.4917355814762422,1.291274591529844,0.25206711004349125,0.8857389256483559,-0.4644758548780641,1.7206547359722622,0.3770060773797075,1.1718881548396016,-0.2934145311415418
130,2,6,125,4,0.8650938465090875,0.8650938465090875,0.17138408647472048,0.60427905799398,-0.49173558147624197,1.2606093067150597,0.24652875451944944,0.8666798204999313,-0.4403205622966371,1.7501143945808915,0.38573771700166914,1.190880672897937,-0.2934145311415418
