trial,base_fast_low,base_slow_low,base_fast_high,base_slow_high,vol_lookback,vol_threshold_pct,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
0,20,336,37,230,35,36.23978081344811,0.11616722433639892,0.8959219930781024,0.9113436298377746,0.2579931202704637,0.636630342005449,-0.8446924806273649,-0.6263452350919968,1.5421636759672235
1,44,230,36,56,117,63.29770563201687,0.4246782213565523,0.6869089072065497,0.7122631235741465,0.1661684582806635,0.5074865993390903,-0.9453949988306571,-0.8451755784296037,2.5354216367596725
2,10,105,16,207,63,41.649165607921674,1.223705789444759,0.6972752167592007,0.7356986168214349,0.17251187285973546,0.5189348441875203,-0.9693358493239054,-0.7053227568610256,3.842340006223421
3,8,137,19,187,99,37.98695128633439,1.0284688768272232,0.7661561412596881,0.7962152637573543,0.20120003367837813,0.558305786054614,-0.9659533076268273,-0.7185619755300351,3.005912249766622
4,31,63,31,101,26,67.95542149013333,1.9312640661491187,0.7049330512300607,0.7851778391151348,0.18972618495768834,0.542624666882228,-0.9609119738422274,-0.7255256526959792,8.024478788507416
5,41,141,6,255,64,34.881529393791155,0.9903538202225404,0.8064553373890064,0.8302412517132467,0.22006312867409772,0.5860393081596031,-0.9177129752177309,-0.4812935125878228,2.3785914324240225
6,3,323,14,249,51,50.80272084711243,1.0934205586865593,0.8518862863284258,0.876717735348237,0.24017682862004341,0.6121515729973722,-0.9283180777530787,-0.47099119347934093,2.4831449019811225
7,11,341,39,332,110,53.915999152443405,1.8437484700462337,0.7900723446799007,0.8091533528740714,0.20216994591545867,0.5626972355249151,-0.9609119738422273,-0.5589173583278708,1.908100819417073
8,6,108,4,147,59,40.853961270955836,1.6574750183038587,0.7830024751029767,0.8412910343810599,0.22375526123785439,0.5911581763017677,-0.9262450636104875,-0.675473032528001,5.828855927808319
9,19,134,28,92,101,32.98202574719083,1.9737738732010346,0.8049801871040082,0.8434035871662424,0.22024247275339004,0.5838344847306193,-0.9609119738422273,-0.6632824349977817,3.842340006223421
10,27,262,49,330,21,45.92173368880707,0.030288474205513755,0.8681695954260441,0.8835912321857163,0.24448240802947674,0.6182021390278035,-0.9296131683013862,-0.6187804921698346,1.5421636759672235
11,26,268,50,349,20,46.59964606854569,0.05712723448591357,0.8526437415426866,0.8685881456501444,0.23672655582672553,0.6079399027640803,-0.9506548110589317,-0.6147148683060812,1.5944404107457733
12,24,284,50,286,40,30.85664588716987,0.12214190637078068,0.8817636221012447,0.8950941894697749,0.25061044752998685,0.626367508045094,-0.9388711207495516,-0.5737052693439783,1.3330567368530235
13,18,296,43,280,42,30.131219076056865,0.45427802330175737,0.8436443236247608,0.856974890993291,0.22702400799101374,0.5942423051396173,-0.9618632301450943,-0.5955616764931164,1.3330567368530235
14,37,201,43,284,82,56.53625714447931,0.3977032913394091,0.8714864746055538,0.882725972582942,0.24071550143049603,0.6117129592937843,-0.9652416451984602,-0.5987209842254275,1.1239497977388238
15,50,348,33,202,39,36.12861557936281,0.6403974343897628,0.8742307812778805,0.8901751853853381,0.24701914182912588,0.621135152469436,-0.9567595965633192,-0.5946914908197186,1.5944404107457733
16,20,297,24,236,79,30.102936622500486,0.19239419000109192,0.958400551362978,0.9717311187315082,0.28850418915948106,0.6788010376761717,-0.8446924806273647,-0.5522453964634664,1.3330567368530235
17,16,240,24,154,80,41.72382543279621,0.6295497182440017,0.9147267763236289,0.9327622498222286,0.2691637445076023,0.6536482638686321,-0.8833314849104925,-0.6901392577518914,1.8035473498599732
18,14,229,22,150,79,42.96458673075035,0.7503346387406935,0.9237753622003041,0.9412880683511183,0.2728361025783199,0.658605701550628,-0.8920721690799587,-0.7007545579746899,1.7512706150814232
19,14,190,23,148,80,58.13986679830919,0.7712790482305018,0.8937199029665283,0.91384644585627,0.25900693846059153,0.639868764681197,-0.9024525128308393,-0.6853810142357213,2.012654288974173
20,32,202,11,173,93,46.21691174125677,0.2848139676770292,0.9139379697194455,0.9335417452614018,0.2705592313714369,0.6583306326884636,-0.7987010639536839,-0.48476035477408175,1.960377554195623
21,15,237,24,144,80,42.32207808390734,0.7136335259497417,0.8700870558248361,0.8907363660623634,0.2483917869973864,0.625212046804674,-0.9124853972041154,-0.7007603437175078,2.064931023752723
22,22,242,21,113,73,49.54348646013545,0.851648449510163,0.886774610535967,0.9069011534257087,0.25631755377788834,0.6367577876641252,-0.8526647098481905,-0.5408388975699578,2.012654288974173
23,15,301,27,171,88,39.71607492413851,0.5624674662963504,0.9070177518944375,0.9219166213063242,0.26320040740359363,0.6450581889088378,-0.8446924806273647,-0.5884338485964875,1.4898869411886735
24,12,169,17,124,71,43.982383063517844,1.290063958029049,0.7615473837245257,0.7884699021354789,0.19971186949739206,0.556682787750075,-0.9705103656038497,-0.7112425161388243,2.692251841095322
