trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD
169,33,342,43,303,0.9016891977340667,4.7489154013015185,0.2546716885071545,0.6241559682777306,-0.8885434554072562
170,36,346,44,327,0.9025418936740067,2.3573752711496745,0.25592258610885876,0.6259302470514143,-0.9122018655435257
171,36,296,19,327,0.961779339209752,4.543926247288503,0.2846918138880119,0.6639106026984034,-0.8446924806273649
172,36,299,19,327,0.9591335608137577,4.543926247288503,0.28336552955540406,0.6621624396092554,-0.8446924806273648
173,36,296,19,339,0.9212363098016676,4.817245119305857,0.2650367650503196,0.638157305345231,-0.8620306781796
174,36,293,19,336,0.9000582508593847,4.543926247288503,0.25434380472097295,0.6240441785487757,-0.8954098514539518
175,39,300,21,335,0.9570129046162987,4.8855748373101955,0.28266850667845844,0.6610423496183375,-0.8703476149780958
176,39,320,21,332,0.962944325702165,4.475596529284165,0.2855640884811521,0.6647286261493514,-0.8446924806273649
177,39,333,22,333,0.9071819754079677,4.202277657266811,0.2577147235507631,0.6284504753470902,-0.8997257595096174
178,40,322,21,226,0.8852183619309635,17.731561822125816,0.24430277425154134,0.6101751501332672,-0.8047821888206673
179,40,342,20,347,0.8862772372155285,5.158893709327549,0.24737481649992943,0.6146762401014806,-0.9274563309201176
180,38,318,24,325,0.8842266595932334,3.9289587852494576,0.24593360909785966,0.6126622343935334,-0.8978656152912706
181,39,312,27,307,0.8915819118857353,4.612255965292841,0.24900308946533412,0.6166221621768029,-0.8668502418823237
182,37,332,16,319,0.9113993258139423,6.047180043383948,0.2596780530382541,0.6310342947732293,-0.8446924806273648
183,14,345,14,308,0.8794927239491973,4.612255965292841,0.24429604962642126,0.6107186984749,-0.8446924806273648
184,35,326,28,205,0.7108454544357953,18.961496746203906,0.16357778299718606,0.4967940162712359,-0.9203104696691362
185,18,350,13,315,0.9176048445581149,4.7489154013015185,0.262053149382647,0.6339357508541392,-0.8551202287376007
186,38,339,44,143,0.8374588667280332,32.42245119305857,0.22066224914253896,0.5778115726087548,-0.8327533937796421
187,41,333,17,217,0.7350689594993663,18.893167028199567,0.17346357085009623,0.5118722225663608,-0.9197555973738065
188,48,318,26,344,0.8962372985498972,5.97885032537961,0.2525439126940656,0.621559403309067,-0.8971513416800907
189,35,325,22,81,0.5038297899872184,46.56670281995662,0.07574522779713022,0.3545922264878486,-0.8055382937383014
190,37,303,9,332,0.8857082115893987,7.072125813449024,0.2474785259811576,0.6150345566842138,-0.8776224644076631
191,39,313,22,312,0.9028345483779439,5.705531453362256,0.25456593367918745,0.6240682134755192,-0.859922208397107
192,35,330,41,321,0.9062306860924054,1.5374186550976139,0.2569830773600086,0.6271714912375616,-0.8680546067371336
193,40,321,16,336,0.9023438427265555,5.842190889370933,0.2544315802159667,0.6238140939857617,-0.8880689905262475
194,42,301,24,341,0.8802047411475463,5.158893709327549,0.24411684173025971,0.6102759777988221,-0.9184649944513261
195,41,328,25,349,0.9391821216916165,3.8606290672451196,0.27359179739008854,0.6492034239151735,-0.8639544976289685
196,41,308,20,334,0.9309280647750213,5.295553145336226,0.26912935443133157,0.6432817455997735,-0.85139375076121
197,40,329,21,327,0.928898857746623,4.7489154013015185,0.26796294576574864,0.6418538385516742,-0.8808453959625521
198,39,336,19,343,0.9043025016021422,4.7489154013015185,0.25644153312591356,0.6266944358122936,-0.910240881787364
199,38,315,22,348,0.8984110072602894,4.7489154013015185,0.2533120552492205,0.6225588851451596,-0.9156633261791199
200,41,100,20,330,0.896591420161939,13.22180043383948,0.25299373709220263,0.6218053392931907,-0.949671842382582
201,39,324,24,338,0.8792940691810348,3.7239696312364425,0.24318405119808006,0.6088926375482621,-0.8969359681026281
202,40,285,18,323,0.8872785297495305,5.842190889370933,0.24740253615470276,0.6147011807785698,-0.8621678285665173
203,37,67,25,331,0.8433801191857466,15.066702819956616,0.22620956817939009,0.5868153026886547,-0.9592724069292707
204,43,336,23,324,0.836785195382566,5.158893709327549,0.22274401188282789,0.5815731235373057,-0.932458707395443
205,38,329,26,337,0.9241386067331905,3.1090021691973972,0.26645355647698543,0.6399745092618377,-0.865014381721787
206,40,329,21,328,0.9250878604673496,4.817245119305857,0.2660296492637375,0.6392939132401639,-0.8808453959625522
207,38,329,21,337,0.945053494140623,4.133947939262473,0.2770933803309754,0.6539865142711523,-0.8549404121475757
208,38,344,22,338,0.8630055550018128,4.612255965292841,0.23557011946930295,0.5987792352593485,-0.9300493339572619
209,37,317,20,321,0.9423263638558362,4.68058568329718,0.2744378956497966,0.6503388184126259,-0.8446924806273647
210,38,321,17,320,0.8697104885286275,5.910520607375271,0.23877504056376542,0.6030969173339737,-0.914056751560121
211,37,311,21,336,0.9532762697666773,4.543926247288503,0.2808241795541282,0.6585878226977868,-0.8532689203859315
212,37,314,19,330,0.9628870239696288,4.7489154013015185,0.2854935217283827,0.6646901154973414,-0.8446924806273649
213,39,309,26,334,0.89900820151234,3.9289587852494576,0.2537421524210186,0.6231368661687955,-0.9075870918329645
214,35,329,18,341,0.9390917156283105,3.997288503253796,0.2729218664630857,0.6483927357940461,-0.8446924806273648
215,37,328,19,344,0.9482033642434287,4.407266811279826,0.27819416441448563,0.6551982312237178,-0.8535445055831544
216,35,327,19,327,0.94816254672797,4.27060737527115,0.2778088450110823,0.6547982741465626,-0.8446924806273649
217,36,328,19,327,0.9482594966982981,4.338937093275488,0.27788165711442003,0.65490395538077,-0.8446924806273649
218,36,328,19,327,0.9482594966982981,4.338937093275488,0.27788165711442003,0.65490395538077,-0.8446924806273649
219,36,327,41,329,0.8868557693288613,1.3324295010845988,0.24731720987313022,0.6144676143202341,-0.9071892425753371
220,38,326,41,344,0.8740225373459548,1.7424078091106292,0.24133631265767908,0.6066181577186459,-0.9173569929698011
221,36,328,42,326,0.891155349673504,1.4690889370932756,0.2495822651501054,0.6174801332661892,-0.90002148290288
222,36,326,19,325,0.9481318099711327,4.338937093275488,0.27777450779018253,0.6547943376399038,-0.8446924806273648
223,36,326,41,342,0.8798868027296854,1.8107375271149675,0.2441102654826619,0.6102819631952047,-0.9113844610766739
224,36,325,41,342,0.8774350022140743,1.8107375271149675,0.24300664012091788,0.6088370563496629,-0.913549920254296
225,37,334,21,329,0.9199265212154433,4.27060737527115,0.2644852437751031,0.637351113373538,-0.8780460632144312
