Rank,Fast,Slow,Trades_Yr,lag0_CAGR,lag1_CAGR,CAGR_Diff_bp,CAGR_Correction_Factor,lag0_Sortino,lag1_Sortino,Sortino_Correction_Factor,lag0_MDD,lag1_MDD
1,2,51,10.395318595578674,0.7632496546366372,0.32556225553756235,4376.873990990748,2.344404615874078,2.542128609930094,1.1732316436739714,2.16677467202421,-0.4544554950141435,-0.7846831898520553
2,2,52,10.067620286085825,0.7550021319870699,0.31839590153604713,4366.0623045102275,2.3712683748273453,2.517719776739317,1.1459289113478792,2.197099446402737,-0.4882954238946211,-0.7654332737167542
3,2,53,9.958387516254875,0.7493702829042219,0.3180322024089137,4313.380804953082,2.3562717147136882,2.498498034236298,1.1445517394656421,2.1829489642842828,-0.509084303321506,-0.7949142538451414
4,2,50,10.57737321196359,0.7670715941185351,0.3151473219945189,4519.242721240162,2.4340095586529404,2.5543026828444186,1.1411093721800283,2.2384380893871376,-0.4313531903406175,-0.8278863799842154
5,7,57,6.135240572171651,0.37168420023470095,0.30881528745027964,628.6891278442131,1.2035809603322938,1.3916697874657842,1.110621504510185,1.2530549623019853,-0.7028298161031638,-0.7341035115288619
6,7,59,5.88036410923277,0.3675477150656463,0.30939111383670825,581.5660122893806,1.1879711427640816,1.3774956110741694,1.1110309399510168,1.239835509112735,-0.74717436382096,-0.7766142358054471
7,7,56,6.208062418725618,0.3602896794017707,0.3072854373931597,530.0424200861098,1.1724918774487647,1.3555548239599715,1.1072338089126141,1.224271525172472,-0.7528456143186599,-0.7186098444051943
8,7,58,5.9531859557867355,0.36368428742135284,0.3070270504993138,566.5723692203906,1.1845350005150952,1.3668553126364409,1.1045751703402498,1.2374488847285958,-0.7234342881665298,-0.8062071893451885
9,7,60,5.661898569570871,0.3679022594387382,0.30815133566077235,597.5092377796587,1.1939012324896834,1.3784340574864116,1.1079875449531893,1.2440880439180824,-0.7456646416351249,-0.7847127417315091
10,7,55,6.35370611183355,0.3525113607485304,0.3045390891834914,479.7227156503903,1.1575241841487702,1.3324416377783785,1.0999409450285589,1.2113756141187952,-0.8036083093876971,-0.7136174021122873
